title,link,published,source,pub_date
The political effects of X’s feed algorithm,https://www.nature.com/articles/s41586-026-10098-2,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Integrated photonics enabling ultra-wideband fibre–wireless communication,https://www.nature.com/articles/s41586-026-10172-9,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Clinical-grade autonomous cytopathology through whole-slide edge tomography,https://www.nature.com/articles/s41586-025-10094-y,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
A roadmap for evaluating moral competence in large language models,https://www.nature.com/articles/s41586-025-10021-1,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Nucleotide signals coordinate activation and inhibition of bacterial immunity,https://www.nature.com/articles/s41586-026-10135-0,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Ancient co-option of LTR retrotransposons as yeast centromeres,https://www.nature.com/articles/s41586-025-10092-0,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Agouti integrates environmental cues to regulate paternal behaviour,https://www.nature.com/articles/s41586-026-10123-4,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
"Laser writing in glass for dense, fast and efficient archival data storage",https://www.nature.com/articles/s41586-025-10042-w,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Oxygen metabolism in descendants of the archaeal-eukaryotic ancestor,https://www.nature.com/articles/s41586-026-10128-z,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
An agentic system for rare disease diagnosis with traceable reasoning,https://www.nature.com/articles/s41586-025-10097-9,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Mucosal vaccination clears Clostridioides difficile colonization,https://www.nature.com/articles/s41586-026-10138-x,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Ancestry and somatic profile indicate acral melanoma origin and prognosis,https://www.nature.com/articles/s41586-025-09967-z,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Higher-dimensional Fermiology in bulk moiré metals,https://www.nature.com/articles/s41586-026-10173-8,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
Cold-injection synthesis of highly emissive perovskite nanocrystals,https://www.nature.com/articles/s41586-026-10117-2,2026-02-18 00:00:00 UTC,Nature,2026-02-18 00:00:00+00:00
