title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
[ASAP] Dual-Site Competitive Coordination Eliminates Residual DMSO for Thermally and Moisture-Stable Perovskite Solar Cells,http://dx.doi.org/10.1021/acsenergylett.5c03999,ACS Energy Letters: Latest Articles (ACS Publications),2026-03-05 15:27:50 UTC,2026-03-05 15:27:50+00:00,10.1021/acsenergylett.5c03999,Xiu Gong,"The commercialization of perovskite solar cells (PSCs) is critically impeded by instability under thermal and humid conditions, primarily originating from residual dimethyl sulfoxide (DMSO) trapped in crystalline intermediates during solution processing. Here, we introduce eperisone hydrochloride (EH) as a dual-site passivator that eliminates DMSO residues through competitive coordination. The carbonyl group of EH binds to Pb2+, displacing it from PbI2–DMSO complexes and generating mesoporous PbI2 frameworks that facilitate solvent volatilization. Concurrently, the tertiary amine directs formamidinium cation (FA+) alignment via hydrogen bonding, while chloride ions fill iodide vacancies to suppress ion migration. After crystallization, EH migrates to grain boundaries to form a low-hydrophilic barrier that blocks moisture. These synergies enable planar PSCs to achieve 26.06% efficiency and outstanding stability, retaining 90.39% of their initial efficiency after 1200 h (ISOS-L-3, 85 °C, MPP tracking) and 90.12% after 600 h (ISOS-D-3, 85 °C/85% RH).",openalex,1
[ASAP] Chemical and Structural Insights into Solid Electrolyte Interphase Evolution for Sodium Metal Electrodes,http://dx.doi.org/10.1021/acsenergylett.5c03538,ACS Energy Letters: Latest Articles (ACS Publications),2026-03-05 16:11:31 UTC,2026-03-05 16:11:31+00:00,10.1021/acsenergylett.5c03538,Yu-chen Karen Chen-Wiegart,"The solid electrolyte interphase (SEI) critically governs the reversibility of sodium metal batteries, through dynamically mediating ion transport and interfacial reactions. However, its kinetic evolution under operating conditions, and how it influences interfacial stability, remains poorly understood. Here, we reveal that the SEI undergoes coupled chemical and mechanical changes during sodium plating and stripping, leading to spatial and temporal heterogeneity that drives interfacial degradation. Synchrotron operando grazing-incidence wide-angle X-ray scattering and soft X-ray absorption spectroscopy capture the sequential formation and dissolution of inorganic SEI phases (NaF, NaH, NaOH, Na2PO3F), accompanied by depth-dependent alterations in organic SEI components. Mesoscale modeling connects this evolving SEI heterogeneity to localized current density fluctuations and stress accumulation at the Na interface, identifying pathways to electrically isolated sodium formation. These findings show that SEI instability fundamentally limits reversibility in sodium metal batteries, and that controlling SEI chemistry–mechanics coupling is essential to achieving its durability.",openalex,1
[ASAP] Aliovalent Anion Incorporation in Halide Na-ion Conductors for Enhanced Ionic Conductivity,http://dx.doi.org/10.1021/acsenergylett.5c04071,ACS Energy Letters: Latest Articles (ACS Publications),2026-03-05 17:17:41 UTC,2026-03-05 17:17:41+00:00,10.1021/acsenergylett.5c04071,Hui Wang,"Halide-based solid electrolytes (SEs), particularly zirconium (Zr)-centered halides, are attractive from a material cost perspective. Nevertheless, Zr-centered halide SEs are hindered by their low ionic conductivity. Here, we report on the cubic Na3ZrCl5S superionic conductor through strategic sulfur anion incorporation, achieving 10 times higher ionic conductivity than that of Na2ZrCl6. With the optimal composition, the highest ionic conductivity of 0.753 mS cm–1 is obtained for the 0.6Na2S–1.4NaCl–ZrCl4 compound. When paired with a NaCrO2 cathode, the assembled all-solid-state batteries (ASSBs) achieve a specific discharge capacity of 110 mA h g–1 at 0.1C and exhibit long-term cycling stability at 0.3C at room temperature over 1000 cycles (with 83% capacity retention). Moreover, in situ electrochemical impedance spectroscopy combined with distribution of relaxation times analysis reveal the dynamically interfacial stability between Na halide with electrodes. This work highlights the design and synthesis of advanced halide electrolytes through anion incorporation, paving the way for the development of next-generation ASSBs.",openalex,1
Subsurface hydrogen as a hidden driver of copper surface reconstruction in CO₂ electroreduction,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag128/8509316?rss=1,National Science Review Advance Access,2026-03-06 00:00:00 UTC,2026-03-06 00:00:00+00:00,10.1093/nsr/nwag128,Jian-Feng Li,"Copper (Cu) undergoes significant surface reconstruction during CO₂ electroreduction, which is strongly modulated and accelerated by reaction intermediates, yet the atomic-scale mechanism remains far behind the experimental observations. By integrating machine learning interatomic potentials with large-scale grand canonical Monte Carlo simulations, we systematically investigated *CO- and *H-induced surface roughening across various Cu facets. Our simulations demonstrate that high surface *H (*Hsur) coverage facilitates subsurface hydrogen (*Hsub) incorporation on (100)-dominated Cu facets under typical working conditions (−1 V vs. reversible hydrogen electrode), while such penetration is negligible on (111)-like surfaces. This facet dependence is primarily attributed to a *H-induced hexagonal surface reconstruction observed on (100)-dominated facets, a process driven primarily by geometric rather than electronic effects. Specifically, high *H coverage triggers a partial transition of Cu atoms from ideal 4-fold hollow sites to more closely packed 3-fold arrangements. The local densification expands the spacing at the remaining 4-fold sites, thereby reducing the energy barrier for *Hsub migration into the subsurface. Further analysis reveals that *Hsub alone is sufficient to induce Cu adatom formation, even in the absence of nearby *CO, uncovering a revised structural evolution paradigm for Cu surface roughening. We propose an alloying strategy using low hydrogen affinity metals (Zn, Al, Ga) to effectively suppress *Hsur incorporation, offering a promising pathway for designing Cu-based catalysts with long-term stability.",rss_oup,0
Carbon-based molecular qubits: a chemical pathway to ambient quantum technologies,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag129/8509313?rss=1,National Science Review Advance Access,2026-03-06 00:00:00 UTC,2026-03-06 00:00:00+00:00,10.1093/nsr/nwag129,Xinliang Feng,"This Perspective article outlines the design principles, key challenges, and future directions for advancing carbon-based molecular quantum technologies.",crossref,1
Experimentally tracing water molecules and mapping high-resolution liquid structure pictures for promising water-in-salt/ionic liquid electrolytes,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag125/8509310?rss=1,National Science Review Advance Access,2026-03-06 00:00:00 UTC,2026-03-06 00:00:00+00:00,10.1093/nsr/nwag125,Chaoji Chen,"Maximizing salt concentration to eliminate the active bulk-like water is the underlying logic of the ‘water-in-salt’ (WiS) strategy in advancing high-voltage aqueous battery chemistries, whereas salts with solubility capable of reaching the WiS regime (typically water-to-salt ratio 2O molecules, primary/secondary solvation sheaths of Zn2+, and other long-range molecular arrangements are structured. Further studies of electrochemical property, Zn cycling, and electrolyte/Zn interphasial chemistry performed on a Wi(S/IL) electrolyte with optimal composition reveal that fully eliminating bulk-like water and constructing a weakly-bonded anionic primary solvation sheath can promise a 4-V class electrolyte operation window and decent Zn plating/stripping reversibility of 99.7% over long-term cycling. This work implies a revolution of WiS strategy and, more importantly, a new paradigm for experimentally studying the liquid structures of aqueous electrolytes.",rss_oup,0
Heating and leaching-free separation of electrodes by liquid metals for regeneration of spent Li ion batteries,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag142/8509308?rss=1,National Science Review Advance Access,2026-03-06 00:00:00 UTC,2026-03-06 00:00:00+00:00,10.1093/nsr/nwag142,Yu Ding,"Efficient separation of Al foil from cathodes is a prerequisite for recycling spent Li-ion batteries. Current strategies, relying on thermal treatment or aggressive leaching, suffer from high energy consumption and adverse environmental effects. Here, we present a liquid metal-induced electrode separation approach free of heating or leaching. The liquid metal disrupts Al’s passivation layer and permeates its grain boundaries, enabling rapid and efficient detachment of active materials. Our combined experimental and computational modeling reveals that the strong binding energy between GaSn atoms and Al’s (110) surface drives this grain boundary diffusion, establishing a foundation for sustainable separation. This approach is a universal methodology for all widely used cathodes, including LiNi1/3Co1/3Mn1/3O2 (NCM), LiCoO2 (LCO), LiFePO4 (LFP), and LiMn2O4 (LMO). The liquid metal can be instantly regenerated by reacting with H2O to remove dissolved Al, producing high-value H2 as a byproduct without harmful emissions. This process achieves a separation efficiency of ∼99.4% for all electrode materials within 30 minutes, maintaining >99.3% over repeated cycles, demonstrating outstanding reusability. Crucially, dissolution of transition metals (Ni, Co, Mn, Fe) is negligible, preserving active material integrity. The regenerated NCM, LCO, LFP, and LMO cathodes deliver reversible capacities of 172, 148, 144, and 138 mAh g−1 at 0.1 C",rss_oup,0
Roadmap toward next-generation proton exchange membrane water electrolyzers,https://www.cell.com/joule/fulltext/S2542-4351(26)00021-8?rss=yes,Joule,2026-03-06 00:00:00 UTC,2026-03-06 00:00:00+00:00,10.1016/j.joule.2026.102337,Junjie Ge,"This perspective addresses scalability challenges (from MW to GW) in proton exchange membrane water electrolyzers (PEMWEs) for green hydrogen production. It outlines critical issues in catalytic overpotential, electron/proton transport resistance, and mass-transfer limitations. A comprehensive roadmap targeting 1.6 V at 3 A/cm2 with reduced iridium loading (<0.1 mg/cm2) is proposed. Catalyst-coated substrate (CCS) technology emerges as a transformative approach, eliminating catalyst-layer resistance and enhancing utilization, thereby overcoming critical bottlenecks in electron transport and interfacial contact in next-generation PEMWEs.",rss_cell,0
A low-temperature strategy to prepare CuInS2 solar cells with efficiency exceeding 12%,https://www.cell.com/joule/fulltext/S2542-4351(26)00002-4?rss=yes,Joule,2026-03-06 00:00:00 UTC,2026-03-06 00:00:00+00:00,10.1016/j.joule.2026.102318,Mingtai Wang,"Efficient CuInS2 solar cells are processed at < 300°C by combining interdigitation of electron-extracting interfaces and sulfur anion-induced gradient phase transformation (S2−-GPT) in an In-rich CuInS2 layer, and an efficiency of 12.28% and open-circuit voltage of 0.83 V are achieved as the so-far highest values among the CuInS2 solar cells prepared at high (530°C–630°C) and low (< 400°C) temperatures since 1993.",rss_cell,0
Universal workflow language and software enable geometric learning and FAIR scientific protocol reporting,https://www.cell.com/joule/fulltext/S2542-4351(26)00001-2?rss=yes,Joule,2026-03-06 00:00:00 UTC,2026-03-06 00:00:00+00:00,10.1016/j.joule.2026.102317,Joseph J. Berry,"The universal workflow language is a data format that provides a more accurate representation of scientific procedures than conventional data structures or written language methods. This work uses the format to identify major deficiencies in high-impact, peer-reviewed scientific procedures and to present opportunities in graph learning on process data.",rss_cell,0
