title,link,published,source,pub_date
Developing super-tortillas to address malnutrition in Latin America,https://www.nature.com/articles/d41586-026-00087-w,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
Rapid prototyping for microfluidics across disciplines,https://www.nature.com/articles/s44286-025-00345-0,2026-01-12 00:00:00 UTC,Nature Chemical Engineering,2026-01-12 00:00:00+00:00
Don’t go (phase) changing,https://www.nature.com/articles/s44286-025-00352-1,2026-01-12 00:00:00 UTC,Nature Chemical Engineering,2026-01-12 00:00:00+00:00
Small pores make a big step for gas separations,https://www.nature.com/articles/s44286-025-00351-2,2026-01-12 00:00:00 UTC,Nature Chemical Engineering,2026-01-12 00:00:00+00:00
Electrochemical quantification of phosphonic acid passivated surface sites of NiOx for perovskite solar cells,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05065K,2026-01-12 00:00:00 UTC,RSC - Energy Environ. Sci. latest articles,2026-01-12 00:00:00+00:00
Additive manufacturing of metastructures at the micro- and nano-scale,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D4CS01054J,2026-01-12 00:00:00 UTC,RSC - Chem. Soc. Rev. latest articles,2026-01-12 00:00:00+00:00
Transient absorption spectroscopy: a mechanistic tool for triplet sensitizers and their applications,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS00614G,2026-01-12 00:00:00 UTC,RSC - Chem. Soc. Rev. latest articles,2026-01-12 00:00:00+00:00
Biochar boom-and-bust cycle,https://www.nature.com/articles/s41893-025-01748-w,2026-01-12 00:00:00 UTC,Nature Sustainability,2026-01-12 00:00:00+00:00
Thermal [2+2] cycloaddition as a route to gem-difluoro heterobicyclo[n.1.1]alkanes,https://www.nature.com/articles/s41557-025-02047-9,2026-01-12 00:00:00 UTC,Nature Chemistry,2026-01-12 00:00:00+00:00
Catalytic acyloin-type heterocoupling of thioesters via a putative cobalt siloxycarbene,https://www.nature.com/articles/s41557-025-02036-y,2026-01-12 00:00:00 UTC,Nature Chemistry,2026-01-12 00:00:00+00:00
Experimental observation of liquid–solid transition of nanoconfined water at ambient temperature,https://www.nature.com/articles/s41563-025-02456-8,2026-01-12 00:00:00 UTC,Nature Materials,2026-01-12 00:00:00+00:00
Wafer-scale monolayer dielectric integration on atomically thin semiconductors,https://www.nature.com/articles/s41563-025-02445-x,2026-01-12 00:00:00 UTC,Nature Materials,2026-01-12 00:00:00+00:00
Heterogeneous response of soil organic matter decomposition to temperature change across permafrost regions,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag019/8422525?rss=1,2026-01-12 00:00:00 UTC,National Science Review Advance Access,2026-01-12 00:00:00+00:00
Student mental health is in crisis — here’s how to help,https://www.nature.com/articles/d41586-026-00084-z,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
Daily briefing: The neural circuit that can make it hard to start a difficult task,https://www.nature.com/articles/d41586-026-00142-6,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
Formation pathway of high-efficiency kesterite solar cells fabricated through molecular ink chemistry,https://www.nature.com/articles/s41560-025-01900-y,2026-01-12 00:00:00 UTC,Nature Energy,2026-01-12 00:00:00+00:00
Mapping Europe’s rooftop photovoltaic potential with a building-level database,https://www.nature.com/articles/s41560-025-01947-x,2026-01-12 00:00:00 UTC,Nature Energy,2026-01-12 00:00:00+00:00
AIs are biased toward some Indian castes — how can researchers fix this?,https://www.nature.com/articles/d41586-025-04041-0,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
‘We’re humans — brilliant and a mess’: Wikipedia founder Jimmy Wales on trust and optimism,https://www.nature.com/articles/d41586-026-00083-0,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
Fresh starts: how to thrive when you leave academia,https://www.nature.com/articles/d41586-026-00085-y,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
US scientists push back as Trump eyes Greenland,https://www.nature.com/articles/d41586-026-00068-z,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
Same-sex sexual behaviour can help primates to survive — and reproduce,https://www.nature.com/articles/d41586-026-00119-5,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
A new direction for conductive 2D COF films,https://www.nature.com/articles/s41578-025-00888-x,2026-01-12 00:00:00 UTC,Nature Reviews Materials,2026-01-12 00:00:00+00:00
Ancient ‘snowball’ Earth had frigidly briny seas,https://www.nature.com/articles/d41586-025-04081-6,2026-01-12 00:00:00 UTC,Nature,2026-01-12 00:00:00+00:00
"Himalayas bare and rocky after reduced winter snowfall, scientists warn",https://www.bbc.com/news/articles/clyndv7zd20o?at_medium=RSS&at_campaign=rss,2026-01-12 00:38:44 UTC,BBC News,2026-01-12 00:38:44+00:00
Scientists spot never-before-seen shock wave around dead star,https://www.science.org/content/article/scientists-spot-never-seen-shock-wave-around-dead-star,2026-01-12 05:00:00 UTC,Latest News from Science Magazine,2026-01-12 05:00:00+00:00
Entropically Stabilized Compositionally Complex Prussian Blue Analogues in Electrochemical Energy Storage and Catalytic Applications,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202505809?af=R,2026-01-12 05:00:49 UTC,Wiley: Advanced Energy Materials: Table of Contents,2026-01-12 05:00:49+00:00
Chiral Molecular Engineering for Synergistic Defect Passivation and Phase Stabilization Enables 22.19%‐Efficient Inorganic Perovskite Solar Cells,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202506140?af=R,2026-01-12 05:02:29 UTC,Wiley: Advanced Energy Materials: Table of Contents,2026-01-12 05:02:29+00:00
Huge Roman villa found under popular park dubbed town's 'Pompeii',https://www.bbc.com/news/articles/cgk8j1gkxelo?at_medium=RSS&at_campaign=rss,2026-01-12 06:13:10 UTC,BBC News,2026-01-12 06:13:10+00:00
Protein synthesis blockade prevents fear memory reactivation via inhibition of engram synapse strengthening,https://www.pnas.org/doi/abs/10.1073/pnas.2510016123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Signals and the shape of developmental landscapes,https://www.pnas.org/doi/abs/10.1073/pnas.2533095123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
"Reply to Malka and Druckman: Durability tests already account for countermessaging, and additional countermessaging is unlikely",https://www.pnas.org/doi/abs/10.1073/pnas.2532658123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Explaining supernatural cures for poorly understood illnesses: Revisiting classic questions with new evidence,https://www.pnas.org/doi/abs/10.1073/pnas.2531788123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
When broken bones need air: Erythrocytes step in to heal,https://www.pnas.org/doi/abs/10.1073/pnas.2530030123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Berry Batesian mimicry enables bird dispersal of asexual bulbils in a yam,https://www.pnas.org/doi/abs/10.1073/pnas.2528094123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Brain displacement and nonlinear deformation following human spaceflight,https://www.pnas.org/doi/abs/10.1073/pnas.2505682122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Tongue microstructure physically constrains division of labor in bumblebee foraging,https://www.pnas.org/doi/abs/10.1073/pnas.2527391123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
The aspiration for scalable citizen-level interventions and the missing tests of countermessaging,https://www.pnas.org/doi/abs/10.1073/pnas.2527948123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Less NOx emission reductions are a potential cause for low effectiveness of sulfate aerosol reductions in China,https://www.pnas.org/doi/abs/10.1073/pnas.2523101123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Multiomics identifies a cholesterol–TFEB–PLD3–TLR9 axis driving immunosuppressive tumor-associated macrophage polarization in esophageal squamous cell carcinoma,https://www.pnas.org/doi/abs/10.1073/pnas.2520427123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Earliest perissodactyls reveal large-scale dispersals during the PETM,https://www.pnas.org/doi/abs/10.1073/pnas.2519690122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Seeing Roman life through water: Exploring Pompeii’s public baths via carbonate deposits,https://www.pnas.org/doi/abs/10.1073/pnas.2517276122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Isotopic evidence for volatile loss driven by South Pole-Aitken basin–forming impact,https://www.pnas.org/doi/abs/10.1073/pnas.2515408123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
An ecological cascade links climatic variability to avian irruptions and zoonotic salmonellosis outbreaks,https://www.pnas.org/doi/abs/10.1073/pnas.2511209123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Reply to Song et al.: Acidity-sensitive chemistry promotes sulfate formation in East Asia,https://www.pnas.org/doi/abs/10.1073/pnas.2524655123?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
Global destocking of extensive livestock: An overlooked trend with Earth system consequences,https://www.pnas.org/doi/abs/10.1073/pnas.2509097122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2026-01-12 08:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2026-01-12 08:00:00+00:00
[ASAP] 830 nm-Excitable Triplet–Triplet Annihilation Upconversion Achieved by a Selenium-Integrated Heptamethine Cyanine Sensitizer,http://dx.doi.org/10.1021/jacs.5c15902,2026-01-12 11:20:17 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-12 11:20:17+00:00
[ASAP] Base Metal Catalysis in Nitrene Transfer Reactions,http://dx.doi.org/10.1021/acs.chemrev.5c00503,2026-01-12 11:25:54 UTC,Chemical Reviews: Latest Articles (ACS Publications),2026-01-12 11:25:54+00:00
[ASAP] Characterization of a Silver Vinylcarbene Intermediate in Carbene–Alkyne Metathesis and Its Concerted C(sp2)–H Bond Insertion,http://dx.doi.org/10.1021/jacs.5c19806,2026-01-12 13:33:18 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-12 13:33:18+00:00
[ASAP] Electrochemical Indole Skeletal Editing via Single-Carbon Atom Insertion,http://dx.doi.org/10.1021/jacs.5c19912,2026-01-12 13:34:08 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-12 13:34:08+00:00
[ASAP] Photolysis of CO2 Carbamate for Hydrocarboxylation Reactions,http://dx.doi.org/10.1021/jacs.5c21208,2026-01-12 13:55:07 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-12 13:55:07+00:00
[ASAP] Fluorescence Transduction of Liquid Crystal Ordering Transitions for Biosensing,http://dx.doi.org/10.1021/jacs.5c16679,2026-01-12 14:09:08 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-12 14:09:08+00:00
[ASAP] Biosynthesis of Minimal C-Phycocyanin Chromophore Assemblies in E. coli Provides a Platform to Dissect Protein-Mediated Tuning of Exciton Transfer,http://dx.doi.org/10.1021/jacs.5c18051,2026-01-12 14:18:22 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-12 14:18:22+00:00
“Ionic Tug‐of‐War” Effect Decoupling Li+‐Coordination Enables High Ion Conductivity and Interface Stability for Solid‐State Electrolytes,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202505982?af=R,2026-01-12 14:21:25 UTC,Wiley: Advanced Energy Materials: Table of Contents,2026-01-12 14:21:25+00:00
Steering Pulsed Electrochemistry Selectivity Toward Singlet Oxygen via Dynamic Intermediate Management,https://onlinelibrary.wiley.com/doi/10.1002/anie.202524903?af=R,2026-01-12 14:22:40 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-12 14:22:40+00:00
"Dynamic Polyiodide‐Trapping and Proton‐Capturing Dual‐Network Engineering for High‐Areal‐Capacity, Long‐Cycling and High‐Temperature Zn─I2 Batteries",https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202522609?af=R,2026-01-12 14:25:10 UTC,Wiley: Advanced Materials: Table of Contents,2026-01-12 14:25:10+00:00
Yb‐Doped Cu‐Based Catalyst Boosting Electrochemical CO2‐to‐C2+ Reduction Across pH Range at Ampere‐Level Current Density,https://onlinelibrary.wiley.com/doi/10.1002/anie.202510755?af=R,2026-01-12 14:25:52 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-12 14:25:52+00:00
Amphiphilic Reactive Interfaces Enable Controlled Synthesis of Mesoscopic Covalent Organic Frameworks,https://onlinelibrary.wiley.com/doi/10.1002/anie.202517356?af=R,2026-01-12 14:26:35 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-12 14:26:35+00:00
"N‐Heterocyclic Carbene Monolayers on Nickel, Iron, and Steel by a Radical‐to‐Carbene Strategy",https://onlinelibrary.wiley.com/doi/10.1002/anie.202518099?af=R,2026-01-12 14:26:51 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-12 14:26:51+00:00
From Failure to Design: Modulating Phase Transitions and Oxygen Release in Ni‐Rich Cathodes,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202518740?af=R,2026-01-12 14:28:11 UTC,Wiley: Advanced Materials: Table of Contents,2026-01-12 14:28:11+00:00
Scaling Short‐Wave Infrared Detector Pixels to Subwavelength Dimensions,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202517878?af=R,2026-01-12 14:29:37 UTC,Wiley: Advanced Materials: Table of Contents,2026-01-12 14:29:37+00:00
Chemical Processes in All‐Solid‐State Li─S and Na─S Batteries: A Perspective,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202504832?af=R,2026-01-12 14:30:01 UTC,Wiley: Advanced Energy Materials: Table of Contents,2026-01-12 14:30:01+00:00
"Multilayer Sulfide‐Electrolyte Engineering Stabilizes Interfaces for Long‐Cycling, Wide‐Temperature Lithium–Organic Solid‐State Batteries",https://onlinelibrary.wiley.com/doi/10.1002/anie.202524363?af=R,2026-01-12 14:30:24 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-12 14:30:24+00:00
Nanocrystalline Sn for Photoelectrocatalytic Synthesis of Stereocontrolled Oxime,https://onlinelibrary.wiley.com/doi/10.1002/anie.202522489?af=R,2026-01-12 14:33:34 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-01-12 14:33:34+00:00
Vapor‐Flux Growth of c‐BP Single Crystals With Concurrently High Electrical Resistivity and Isotope‐Enhanced High Thermal Conductivity,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202517389?af=R,2026-01-12 14:36:14 UTC,Wiley: Advanced Materials: Table of Contents,2026-01-12 14:36:14+00:00
"An AI‐embedded, Wearable Dual Closed‐Loop Insulin Delivery System for Precision Diabetes Management",https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202514945?af=R,2026-01-12 14:36:24 UTC,Wiley: Advanced Materials: Table of Contents,2026-01-12 14:36:24+00:00
Correction to: “Near‐Infrared‐Triggered Azobenzene‐Liposome/Upconversion Nanoparticle Hybrid Vesicles for Remotely Controlled Drug Delivery to Overcome Cancer Multidrug Resistance”,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202518047?af=R,2026-01-12 14:38:06 UTC,Wiley: Advanced Materials: Table of Contents,2026-01-12 14:38:06+00:00
"[ASAP] Catellani-Inspired BN-Aromatic Expansion: A Versatile Tool toward π-Extended 1,2-Azaborines with Tunable Photosensitizing Properties",http://dx.doi.org/10.1021/jacs.5c19389,2026-01-12 14:40:00 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-01-12 14:40:00+00:00
