title,link,published,source,pub_date
Daily briefing: Hunter-gatherers in Europe’s ‘water world’ resisted the switch to farming for millennia,https://www.nature.com/articles/d41586-026-00465-4,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Bioinspired thermal management fibers and textiles,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D5CS01328C,2026-02-12 00:00:00 UTC,RSC - Chem. Soc. Rev. latest articles,2026-02-12 00:00:00+00:00
Publisher Correction: Physiology and immunology of a pig-to-human decedent kidney xenotransplant,https://www.nature.com/articles/s41586-026-10252-w,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Flexible joints: robot morphs into a range of cyborg species,https://www.nature.com/articles/d41586-026-00410-5,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
How some COVID vaccines triggered rare blood-clot disorder,https://www.nature.com/articles/d41586-026-00457-4,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
US repeals key ‘endangerment finding’ that climate change is a public threat,https://www.nature.com/articles/d41586-026-00455-6,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Resource requirements and consequences of large-scale hydrogen use in Europe,https://www.nature.com/articles/s41893-026-01771-5,2026-02-12 00:00:00 UTC,Nature Sustainability,2026-02-12 00:00:00+00:00
From ancient temples to bomb craters: explore Laos’s layered history — in photos,https://www.nature.com/articles/d41586-026-00330-4,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Self-powered vibration sensor for wearable health care and voice detection,https://www.nature.com/articles/d41586-026-00250-3,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Grant proposals drafted with AI help more likely to win NIH funding,https://www.nature.com/articles/d41586-026-00369-3,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
The ‘astounding’ rise of semaglutide — and what’s next for weight-loss drugs,https://www.nature.com/articles/d41586-026-00228-1,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Exercise rewires the brain — boosting the body’s endurance,https://www.nature.com/articles/d41586-026-00414-1,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Science funding needs fixing — but not through chaotic reforms,https://www.nature.com/articles/d41586-026-00447-6,2026-02-12 00:00:00 UTC,Nature,2026-02-12 00:00:00+00:00
Morphing matter to support ecological restoration,https://www.nature.com/articles/s41578-026-00895-6,2026-02-12 00:00:00 UTC,Nature Reviews Materials,2026-02-12 00:00:00+00:00
Diverse polymers with chemical recyclability via regioirregular polymerization of a single monomer,https://www.nature.com/articles/s41563-026-02498-6,2026-02-12 00:00:00 UTC,Nature Materials,2026-02-12 00:00:00+00:00
Ultrathin and ultrastrong hydrogel bioelectronic membranes,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag105/8475386?rss=1,2026-02-12 00:00:00 UTC,National Science Review Advance Access,2026-02-12 00:00:00+00:00
"Observation of van der Waals resonances in low-energy F + H2(v = 0, j = 1) reaction",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag086/8475378?rss=1,2026-02-12 00:00:00 UTC,National Science Review Advance Access,2026-02-12 00:00:00+00:00
