title,link,published,source,pub_date
A pathway to next-generation direct air capture using adsorbents,https://www.cell.com/joule/fulltext/S2542-4351(26)00271-0?rss=yes,2026-07-21 00:00:00 UTC,Joule,2026-07-21 00:00:00+00:00
The true impacts of the built environment,https://www.nature.com/articles/s41893-026-01910-y,2026-07-21 00:00:00 UTC,Nature Sustainability,2026-07-21 00:00:00+00:00
Are boldness and belligerence related?,https://www.nature.com/articles/d41586-026-02103-5,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
Moving floors keep buildings from swaying with the wind,https://www.nature.com/articles/d41586-026-02258-1,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
The need of a ‘self-evolving’ research platform in tribology,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag447/8739103?rss=1,2026-07-21 00:00:00 UTC,National Science Review Advance Access,2026-07-21 00:00:00+00:00
Oil and gas drilling is shifting to the deep sea — here’s what is at stake,https://www.nature.com/articles/d41586-026-02232-x,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
African water research beyond the narratives of conflict and scarcity,https://www.nature.com/articles/s41893-026-01895-8,2026-07-21 00:00:00 UTC,Nature Sustainability,2026-07-21 00:00:00+00:00
New hope in the fight against cachexia — cancer’s deadly co-conspirator,https://www.nature.com/articles/d41586-026-02228-7,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
Ten years of mapping gene expression in tissues,https://www.nature.com/articles/d41586-026-02212-1,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
Non-Abelian statistics for bosonic symmetry-protected topological phases,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag444/8739107?rss=1,2026-07-21 00:00:00 UTC,National Science Review Advance Access,2026-07-21 00:00:00+00:00
Faintest planet ever spotted from Earth has been hiding in plain sight,https://www.nature.com/articles/d41586-026-02210-3,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
Seven ways endurance sports have taught me to be a better researcher,https://www.nature.com/articles/d41586-026-02215-y,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
Does China’s latest AI model finally equal US rivals? What scientists think,https://www.nature.com/articles/d41586-026-02281-2,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
Don’t let AI steal all the joy: what scientists won’t give up to chatbots,https://www.nature.com/articles/d41586-026-02213-0,2026-07-21 00:00:00 UTC,Nature,2026-07-21 00:00:00+00:00
Posterior parietal cortex mediates rarity-induced decision bias,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag449/8739108?rss=1,2026-07-21 00:00:00 UTC,National Science Review Advance Access,2026-07-21 00:00:00+00:00
Bumblebees are struggling in UK heatwaves - but you can help them,https://www.bbc.co.uk/news/articles/c141lymnl2yo?at_medium=RSS&at_campaign=rss,2026-07-21 00:01:32 UTC,BBC News,2026-07-21 00:01:32+00:00
Tropical Storm Bertha threatens US Gulf coast,https://www.bbc.co.uk/news/articles/cqjxzzdrl4lo?at_medium=RSS&at_campaign=rss,2026-07-21 02:42:44 UTC,BBC News,2026-07-21 02:42:44+00:00
Flexible renewable ammonia demonstrator now operational in Minnesota,https://ammoniaenergy.org/articles/flexible-renewable-ammonia-demonstrator-now-operational-in-minnesota/,2026-07-21 02:53:19 UTC,Articles – Ammonia Energy Association,2026-07-21 02:53:19+00:00
Rapid spread of Ebola spurs ‘remarkably’ quick drug and vaccine trials,https://www.science.org/content/article/rapid-spread-ebola-spurs-remarkably-quick-drug-and-vaccine-trials,2026-07-21 03:25:00 UTC,Latest News from Science Magazine,2026-07-21 03:25:00+00:00
"Land-based, ammonia-fueled power generator approaches commercialization in Japan",https://ammoniaenergy.org/articles/land-based-ammonia-fueled-power-generator-approaches-commercialization-in-japan/,2026-07-21 03:30:49 UTC,Articles – Ammonia Energy Association,2026-07-21 03:30:49+00:00
"Wärtsilä to supply engines, onboard ammonia systems for Navigator Amon gas carriers",https://ammoniaenergy.org/articles/wartsila-to-supply-engines-onboard-ammonia-systems-for-navigator-amon-gas-carriers/,2026-07-21 03:50:12 UTC,Articles – Ammonia Energy Association,2026-07-21 03:50:12+00:00
