title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Layer-selective hydrogenation and proton transport in twisted bilayer graphene,https://www.nature.com/articles/s41467-026-71147-y,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71147-y,M. Lozada-Hidalgo,"Recent work investigated graphene’s hydrogenation with independent control of the electric field, E, and charge density, n, in the crystal and showed that the process is controlled by n. Here, we demonstrate layer-selective conductor–insulator transitions in twisted bilayer graphene, driven by hydrogenation at fixed n under strong E. This process is accompanied by proton transport through the bilayer, enabling several parallel and configurable logic gates in the devices. Selectivity arises because the large twist angle decouples the two layers’ electronic systems, enabling independent control of their charge densities. Polarisation by the field then induces a charge imbalance at fixed total n, triggering hydrogenation when one of the layers’ charge densities reaches the threshold for monolayer hydrogenation. Our results introduce a new type of electrode-electrolyte interface in which electrochemical processes are controlled with two decoupled 2D electron gases, opening new design opportunities for energy and information processing devices.",nature_html,0
Advancing green mobile networks,https://www.nature.com/articles/s41467-026-71562-1,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71562-1,Xin Chen,"Mobile communication is a cornerstone technology in our society, facilitating personal relationships, fostering cooperation, and advancing education. Each generation of this technology has brought new services, from voice calls and messaging to internet access, and now Artificial Intelligence (AI). This transformation has steadily augmented the mobile network resource requirements. Driven by the societal and economical needs to increase the mobile network energy efficiency, reduce its energy consumption and the associated environmental footprint, this comment surveys standardized metrics to assess energy-related network performance and overview data-driven state-of-the-art solutions to accelerate the energy transition of mobile networks. Mobile communication underpins society, evolving from calls to AI and increasing network demands. To cut energy use and environmental impact, this work reviews standardized energy metrics and data-driven solutions for greener mobile networks.",openalex,1
Multiscale electric fields direct charges to single-atom cobalt sites for photocatalytic H2 production,https://www.nature.com/articles/s41467-026-71416-w,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71416-w,Gang Zhang,"The photocatalytic efficiency of covalent organic frameworks is often limited by poor charge separation and inaccessible catalytic sites. Here, we overcome these challenges by constructing a biomimetic “alveoli-on-lamina” heterostructure through coordination-directed assembly. This strategy concurrently exfoliates a bulk covalent organic framework into ordered lamellae and creates atomic-scale Co-N/O bridges, anchoring high-density, atomically dispersed cobalt sites. Crucially, this architecture spontaneously generates a multi-scale electric field, integrating a strong interfacial field for charge separation with an intra-structure potential gradient for directional electron transport. This field-driven vectorial charge flow delivers electrons to the catalytic sites, enabling a competitive photocatalytic performance: a hydrogen evolution rate of 534.6 mmol g-1 h-1 under standard irradiation without noble metals, an apparent quantum yield of 90.2% at 500 nm, and retained stability. This work demonstrates that engineering built-in electric fields across multiple scales is a valuable paradigm for advanced solar-to-fuel conversion.",nature_html,0
"An in vivo fitness gene of Toxoplasma, MIC11, is essential for PLP1-mediated egress from host cells",https://www.nature.com/articles/s41467-026-71423-x,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71423-x,Masahiro Yamamoto,"After invasion and replication, intracellular pathogens must egress from infected host cells. Toxoplasma gondii facilitates this process by permeabilizing host cells through induced secretion of perforin-like protein 1 (PLP1). However, the precise mechanism of host cell permeabilization remains enigmatic. Here, we identify the secretory microneme protein MIC11 as a key factor for membrane disruption. A CRISPR-based in vivo screen identifies MIC11 as the top in vivo fitness-conferring gene. Deletion of MIC11 results in severe defects in membrane rupture and egress. Scanning mutagenesis identifies functional motifs in MIC11, and mechanistic analyses support an association between MIC11 and PLP1, suggesting that MIC11 is involved in PLP1-dependent membrane disruption. Moreover, the merozoite-specific paralogue MIC22 functionally complements MIC11 deletion, suggesting a conserved mechanism of egress in the feline-restricted stages of T. gondii. Collectively, the discovery of MIC11 advances our understanding of how parasites disrupt host cells to facilitate rapid egress and successful dissemination.",nature_html,0
Artificial gauge fields for sculpting topological modes on photonic chips,https://www.nature.com/articles/s41467-026-71402-2,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71402-2,Shuang Zhang,"Topological states, which often manifest as localized modes at interfaces between distinct topological phases, and their manipulation have attracted considerable interest in research. Here, we demonstrate a versatile approach to sculpting topological modes into desired shapes by incorporating various artificial gauge fields —including scalar, vector, and imaginary gauge potentials—and leveraging the power of artificial neural networks. The chose gauge fields enable precise tuning of the dissipation of the topological modes across that of bulk modes, facilitating a transition from localized states to fully delocalized ones. These eigen modes can be precisely engineered by neural networks, achieving tailored profiles of topological states, which remain spectrally isolated from bulk bands and exhibit minimal loss compared to other modes. Our theoretical results are experimentally validated on silicon photonic platforms, demonstrating flexible manipulation of mode profiles. This approach enables the design of topological states with customized properties, offering potential for diverse applications in photonics and beyond.",nature_html,0
Realizing Landau levels with open equifrequency contours around band singularities,https://www.nature.com/articles/s41467-026-70879-1,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-70879-1,Shuang Zhang,"Charged particles in a magnetic field undergo circular motion and result in quantized energy levels known as Landau levels (LLs). LLs around band singularites are particularly interesting due to their nontrivial topological properties. To date, through the introduction of the artificial magnetic field, LLs have been observed in systems only with closed equifrequency contours (EFCs) around band singularities, i.e. type-I Dirac or Weyl systems. Here, we demonstrate the existence of LLs with open EFCs around band singularities through combined action of artificial electric (E) and magnetic (B) fields, whereas they cannot be generated by B only. We construct an artificial platform of inhomogeneous metasurfaces of the two-dimensional type-II Dirac system with open EFCs, create suitable artificial gauge fields of E&B, and observe the emergence of E&B-induced LLs experimentally. This work presents a new insight for realizing LLs, and provides a platform for controlling optical waves propagating using artificial gauge fields.",nature_html,0
Non-toxic silver telluride colloidal quantum dot mid-infrared photodetector,https://www.nature.com/articles/s41467-026-71374-3,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71374-3,Kwang Seob Jeong,"As demand for sustainable and biocompatible technologies grows, low-toxicity mid-infrared materials, such as silver chalcogenides, have attracted significant interest. Herein, we report mid-wavelength infrared tunable Ag2Te colloidal quantum dots through a post-growth method starting from short-wavelength infrared Ag2Te colloidal quantum dots. Using the synthesized Ag2Te colloidal quantum dots, we successfully fabricate a photodetector covering the full mid-wavelength infrared spectral range (3–5 μm) with an onset wavelength extending to 6.9 μm. At 78 K, the photodetectors exhibit a photoresponse time of 230 ns (rise) and 576 ns (fall). Responsivity varies from 1.9 × 10-3 A W−1 at 0.02 V to 1.1 A W−1 at 0.5 V, depending on the applied bias, and the specific detectivity of the device is 1.2 × 109 Jones at 0.02 V. The measured noise-equivalent temperature difference of 0.3 K enables us to reliably distinguish temperature variations between 37 °C and 40 °C, directly enabling the diagnosis of fever-level body temperatures.",nature_html,0
A universal atomically dispersed cobalt catalyst for alkylation of ketones alcohols and lignin-derived compounds,https://www.nature.com/articles/s41467-026-71275-5,Nature Communications,2026-04-04 00:00:00 UTC,2026-04-04 00:00:00+00:00,10.1038/s41467-026-71275-5,Matthias Beller,"Catalytic carbon-carbon bond-forming reactions provide the basis for synthetic organic chemistry. To move towards a circular carbon economy, it is imperative to efficiently convert sustainable and inexpensive starting materials, e.g. broadly available renewable feedstocks, in an economically viable and practical manner. In this work , we present a method for the atom-efficient and “waste-free” construction of C-C bonds in ketones with alcohols, including lignin-derived compounds. The broad applicability of this protocol is based on the development of a novel heterogeneous cobalt-based single atom catalyst, which is produced by subjecting a cobalt-poly(p-phenylenediamine)-silica template to pyrolysis and subsequently removing residual silica. The most effective catalyst material consists of isolated cobalt atoms with Co-N4 active sites dispersed on mesoporous carbon. The resulting material is both highly stable and reusable. The presented method facilitates the general and selective C-alkylation of aromatic, heterocyclic, and aliphatic ketones, as well as secondary alcohols. Applications include the functionalization of bioactive molecules and the preparation of pharmaceutical drugs and valuable methylated compounds. The value of the cobalt-single atom catalyst is further demonstrated in the industrially relevant C-alkylation of KA oil.",nature_html,0
Tunable and Low‐Acidity PEDOT:SAM Supramolecular Complex Hole‐Transport Materials for High‐Performance All‐Perovskite Tandem Solar Cells,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.73011?af=R,Wiley: Advanced Materials: Table of Contents,2026-04-04 07:45:11 UTC,2026-04-04 07:45:11+00:00,10.1002/adma.73011,Hui‐Ming Cheng,"ABSTRACT
                  The development of advanced hole‐transport materials (HTMs) is critical for next‐generation optoelectronics. While poly(3,4‐ethylenedioxythiophene): polystyrenesulfonate (PEDOT:PSS) is one of the most widely used HTMs, its inherent acidity and poor interfacial stability represent a universal challenge across diverse devices. This issue becomes particularly acute in all‐perovskite tandem solar cells (APTSCs), where the instability of the narrow‐bandgap (NBG) subcell, exacerbated by PEDOT:PSS, severely limits their operational lifetime. Here, we present a tunable and low‐acidity supramolecular complex HTM, PEDOT:SAM, synthesized via a one‐step oxidative polymerization that integrates EDOT with a carbazole‐phosphonic acid‐based molecular monomer. This design creates an adaptive, stress‐relieving interface and a chemically benign environment, effectively suppressing perovskite degradation. Consequently, NBG perovskite solar cells with PEDOT:SAM achieve a power conversion efficiency (PCE) of 23.7%. When integrated into APTSCs, a champion PCE of 28.76% (certified 27.99%) is attained. The tandem devices retain over 80% of their initial PCE after over 1000 h of maximum power point tracking under 1‐sun illumination, starkly outperforming the PEDOT:PSS‐based devices. This work provides a generalizable materials platform to overcome key stability challenges in perovskite photovoltaics and beyond.",crossref,0
Creating Anionic Microenvironment Around Single‐Atom Fe Sites in Metal–Organic Frameworks for Enhanced Nitrate Electroreduction,https://onlinelibrary.wiley.com/doi/10.1002/anie.8338805?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-04-04 08:19:49 UTC,2026-04-04 08:19:49+00:00,10.1002/anie.8338805,Hai‐Long Jiang,"ABSTRACT
                  
                    The electrocatalytic nitrate reduction reaction (eNO
                    3
                    RR) offers a sustainable strategy for both NO
                    3
                    −
                    wastewater remediation and value‐added NH
                    3
                    production. However, its application is hindered by sluggish reaction kinetics in neutral media due to the limited availability of protons. Herein, an anionic metal–organic framework (MOF), SU‐102, is functionalized with atomically dispersed Fe sites to yield SU‐102‐Fe. This catalyst achieves a Faradaic efficiency (FE) of 96.9% and NH
                    3
                    production rate of 1.72 mg h
                    −1
                    mg
                    cat
                    −1
                    at −0.7 V versus RHE, far surpassing the commercial Fe
                    2
                    O
                    3
                    and pristine SU‐102. In situ characterizations reveal that the negatively charged Zr─O units in SU‐102 create an anionic microenvironment around the Fe sites, which enriches K
                    +
                    •H
                    2
                    O species derived from the interfacial hydrogen‐bonding network. The facile dissociation of K
                    +
                    •H
                    2
                    O improves local proton supply, facilitating NO
                    3
                    −
                    ‐to‐NH
                    3
                    conversion and accounting for the superior eNO
                    3
                    RR performance of SU‐102‐Fe.",crossref,0
