title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract
"Copper-catalysed dynamic kinetic (4+1) cyclization of 1,3-enynes for atroposelective arylpyrrole synthesis",https://www.nature.com/articles/s41467-026-70053-7,Nature Communications,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Axially chiral arylpyrroles are a promising class of compounds with broad applications in catalysis, medicinal chemistry, and materials science. Herein, we report a copper-catalysed dynamic kinetic asymmetric (4 + 1) cyclization for the atroposelective synthesis of arylpyrroles bearing a single stereogenic axis or 1,2-diaxes from 1,3-enynes and amines. This dynamic kinetic asymmetric transformation employs a chiral Cu/Pybox complex, with air as the oxidant and DABCO serving as both a base and a proton shuttle. A key feature is the reversibility of the aza-Michael addition, which enables the dynamic formation/cleavage of distal C–N bonds. The 5-endo-dig cyclization serves as both the rate-determining and stereodetermining step, ensuring precise stereocontrol of the proximal stereocenters by the catalyst. This strategy overcomes long-standing challenges in the stereocontrol of distal C–N bond formation and enables the synthesis of atropisomeric DMAP catalysts with two stereogenic axes. DFT calculations provide insights into the mechanism of stereocontrol.",nature_html,0
Convergent MurJ flippase inhibition by phage lysis proteins,https://www.nature.com/articles/s41586-026-10163-w,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Antimicrobial drug resistance poses a global health challenge that necessitates the identification of new druggable targets1,2,3. The essential lipid II flippase MurJ is a promising yet underexplored antimicrobial target in bacterial cell wall biosynthesis4,5,6,7. The only known inhibitors of Gram-negative (diderm) MurJ are the single-gene lysis proteins (Sgls) from the lytic single-strand RNA phages M (SglM) and PP7 (SglPP7)8,9. SglM and SglPP7 have distinct evolutionary origins and share no sequence similarity. Here we describe a common mechanism of MurJ inhibition by these phage-encoded Sgls. We determined the structures of MurJ-bound SglM and SglPP7 and discovered a third distinct MurJ-targeting Sgl from the predicted phage Changjiang3 (SglCJ3) that we also characterized structurally. Our findings demonstrate that all three Sgls evolved convergently to trap MurJ in a periplasm-open conformation through a common MurJ interface, revealing a pathway for drug design.",nature_html,0
Clonal-aggregative multicellularity tuned by salinity in a choanoflagellate,https://www.nature.com/articles/s41586-026-10137-y,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Multicellularity evolved independently multiple times in eukaryotes1,2,3,4. Two distinct mechanisms underpin multicellularity5: clonality (serial cell division without sister-cell separation) and aggregation (whereby independent cells assemble into a multicellular entity). Clonal and aggregative multicellularity are traditionally considered to be mutually exclusive1,6,7,8, with rare exceptions9, and evolutionary hypotheses have addressed why multicellularity might diverge towards one or the other extreme3,4. Both animals and their sister group, the choanoflagellates, are currently known to acquire multicellularity only clonally4,10,11. Here we show that the choanoflagellate Choanoeca flexa12 forms motile and contractile cell monolayers (sheets) through multiple mechanisms—C. flexa sheets can form purely clonally, purely aggregatively or through a combination of both processes. We characterize the life history of C. flexa in its natural environment—ephemeral splash pools on the island of Curaçao—and show that C. flexa undergoes reversible transitions between unicellularity and multicellularity during evaporation–refilling cycles. Different splash pools house genetically distinct strains of C. flexa and kin recognition constrains aggregation between them. We show that clonal-aggregative multicellularity is a versatile strategy for the robust establishment of multicellularity in this variable and fast-fluctuating environment. Our findings challenge former generalizations about choanoflagellates and expand the option space of choanozoan multicellularity.",nature_html,0
Pivoting colloidal assemblies exhibit mechanical metamaterial behaviour,https://www.nature.com/articles/s41586-026-10217-z,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Biological machines use targeted deformations that can be actuated by Brownian fluctuations. However, although synthetic micromachines can similarly make use of targeted deformations, they are too stiff to be driven by thermal fluctuations and require strong forcing1,2,3. Furthermore, systems that are able to change their conformation by thermal fluctuations do so uncontrollably4,5 or require external control6. Here we use DNA-based sliding contacts7,8,9 to create colloidal pivots, rigid anisotropic objects that freely fluctuate around their pivot point and use a hierarchical strategy to assemble these into Brownian metamaterials with targeted deformation modes. We realize the archetypical rotating diamond and rotating triangle, or kagome, geometries and quantitatively show how thermal fluctuations drive their predicted auxetic deformations10,11,12,13,14,15. Finally, we implement magnetic particles into the colloidal pivots to achieve colloidal metamaterials that can be controlled externally as well as use Brownian fluctuations for precisely controlled shape changes. Together, our work introduces a strategy for creating Brownian mechanical metamaterials with easily actuatable deformation modes.",nature_html,0
Squeaking at soft–rigid frictional interfaces,https://www.nature.com/articles/s41586-026-10132-3,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Squeaking is a constant companion in various aspects of our daily lives, whether we slide rubber-soled shoes across hardwood floors1, scrape chalk on a blackboard2, engage the brakes on a bicycle3 or walk with a hip replacement4,5. When two rigid bodies slide over each other, squeaking is widely understood to result from self-excited stick–slip oscillations, triggered by a decrease in the friction coefficient with increasing slip velocity6,7,8,9,10. However, sliding of extended interfaces can involve crack or slip-pulse propagation11,12,13,14,15,16,17,18,19,20,21. This distinction is amplified when a soft body slides on a rigid one, in which large deformations and material mismatch can cause detachment by opening slip pulses22,23,24,25,26,27. Previous studies focused mainly on slow sliding17,26,28,29,30,31,32,33,34, in which pulses are slow and squeaking is absent. Although squeaking at soft–rigid interfaces has been linked to stick–slip oscillations35,36,37, the mechanisms remain unclear. Here we experimentally investigate soft–rigid interfaces sliding at velocities that produce squeaking. High-speed imaging and acoustic analysis show that opening pulses propagate at approximately the shear wave speed of the soft material, mediating local slip across diverse materials. In flat samples, these pulses are irregular and generate broadband acoustic emissions. Introducing thin surface ridges confines pulse propagation, yielding a consistent repetition frequency matching the first shear mode of the sliding block and squeaking at that frequency. These findings show a structure-driven mechanism that stabilizes rupture in bimaterial friction. Geometric confinement suppresses competing modes, transforming irregular two-dimensional dynamics into coherent one-dimensional pulse trains, offering new insights into frictional rupture from engineered surfaces to geological faults.",nature_html,0
Pancreatic-targeted lipid nanoparticles based on organ capsule filtration,https://www.nature.com/articles/s41586-026-10158-7,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Achieving pancreatic-targeted delivery marks a breakthrough in treating pancreatic diseases, yet precise delivery remains challenging1. Here we identify an explicit and universal principle for pancreatic-selective delivery and propose a pancreatic-targeted lipid nanoparticle (AH-LNP) for mRNA delivery. AH-LNP exhibits size enlargement after assembly with proteins, facilitating capsule-filter-mediated pancreas-selective accumulation and receptor-mediated endocytosis, thereby boosting the pancreatic-targeted ability. Benefiting from this, AH-LNP enables precise and efficient genome editing in the pancreas through the delivery of Cas9 mRNA and single guide RNA (sgRNA), exhibiting promising potential in the treatment of autoimmune pancreatic diseases. Furthermore, pancreatic-targeted delivery of mRNA encoding therapeutic cytokines through AH-LNP demonstrates superior antitumour efficacy when combined with a cancer vaccine or chimeric antigen receptor T cell therapy in multiple pancreatic cancer models. The safety and pancreatic mRNA delivery of AH-LNP were verified in multiple animal models, including non-human primates, demonstrating great promise for clinical translation. Our findings highlight the transformative potential of this pancreatic-targeted mechanism and the derived LNP platform, opening avenues for developing precision therapeutics against diverse pancreatic diseases.",nature_html,0
Peripheral immune-inducer dendritic cells drive early-life allergic inflammation,https://www.nature.com/articles/s41586-026-10162-x,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Atopic diseases associated with allergens, as well as allergic diseases, frequently arise early in life; however, the age-dependent mechanisms governing immune responses to allergens remain poorly understood1. Here we find that in early life, exposure to common allergens triggers a distinct bifurcated immune response, simultaneously triggering type 17 inflammation in the skin and initiating canonical T helper 2 sensitization in the lymph nodes. This early-life γδ type 17-mediated dermatitis primes the exaggerated allergic lung inflammation upon secondary allergen exposure. Mechanistically, we find dendritic cell (DC)-mediated type 17 activation directly in the skin without requiring migration to lymph nodes; we term this state ‘peripheral immune inducer’ (pii) DC. CD301b+ conventional type 2 DCs acquire allergen, adopt the pii-DC state, produce IL-23 and activate local γδ type 17 cells independently of lymph-node engagement. The pii-DC state is enabled by the immature hypothalamic–pituitary–adrenal axis and physiologically low systemic glucocorticoids characteristic of early life2,3; DC-specific deletion of the glucocorticoid receptor recapitulates the pii-DC phenotype. These findings define a developmental checkpoint, set by neuroendocrine maturation, that enables in situ DC activation and immune induction, thereby shaping age-dependent responses to allergens.",nature_html,0
Vectorized instructive signals in cortical dendrites,https://www.nature.com/articles/s41586-026-10190-7,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Vectorization of teaching signals is a key element of almost all modern machine learning algorithms, including backpropagation, target propagation and reinforcement learning. Vectorization allows a scalable and computationally efficient solution to the credit assignment problem by tailoring instructive signals to individual neurons. Recent theoretical models have suggested that neural circuits could implement single-phase vectorized learning at the cellular level by processing feedforward and feedback information streams in separate dendritic compartments1,2,3,4,5. This presents a compelling, but untested, hypothesis for how cortical circuits could solve credit assignment in the brain. Here we used a neurofeedback brain–computer interface task with an experimenter-defined reward function to test for vectorized instructive signals in dendrites. We trained mice to modulate the activity of two spatially intermingled populations (four or five neurons each) of layer 5 pyramidal neurons in the retrosplenial cortex to rotate a visual grating towards a target orientation while we recorded GCaMP activity from somas and corresponding distal apical dendrites. We observed that the relative magnitudes of somatic and dendritic signals could be predicted using the activity of the surrounding network and contained information about task-related variables that could serve as instructive signals, including reward and error. The signs of these putative teaching signals depended on the causal role of individual neurons in the task and predicted changes in overall activity over the course of learning. Furthermore, targeted optogenetic perturbation of these signals disrupted learning. These results demonstrate a vectorized instructive signal in the brain, implemented via semi-independent computation in cortical dendrites, unveiling a potential mechanism for solving credit assignment in the brain.",nature_html,0
OR7A10 GPCR engineering boosts CAR-NK therapy against solid tumours,https://www.nature.com/articles/s41586-026-10149-8,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"Chimeric antigen receptor (CAR)-natural killer (NK) cell therapies hold promise for solid tumours but remain limited because of poor tumour infiltration, persistence and resistance in the tumour microenvironment1,2,3,4. Here, to identify gain-of-function targets that enhance CAR-NK cell efficacy, we performed an unbiased in vivo CRISPR activation screen followed by a barcoded targeted in vivo open reading frame screen in primary human CAR-NK cells. We identified and comprehensively validated OR7A10, a G protein-coupled receptor (GPCR), as the top candidate. Engineering CAR-NK cells with OR7A10 cDNA (a CRISPR-independent method with a simple manufacturing strategy) enhanced their proliferation, activation, degranulation, cytokine production, death ligand expression, chemokine receptor expression, cytotoxicity, persistence, metabolic fitness and tumour microenvironment resistance. Moreover, exhaustion in primary human NK cells derived from multiple peripheral blood and cord blood donors was reduced. OR7A10 gain-of-function CAR-NK cells displayed strong in vivo efficacy across multiple solid tumour models. For example, 100% complete response with long-term tumour control and survival benefit in an orthotopic breast cancer mouse model were achieved. These findings establish OR7A10-engineered CAR-NK cells as a highly potent and scalable off-the-shelf therapeutic for solid tumours.",nature_html,0
A membrane-bound nuclease directly cleaves phage DNA during genome injection,https://www.nature.com/articles/s41586-026-10207-1,Nature,2026-02-25 00:00:00 UTC,2026-02-25 00:00:00+00:00,,"From mammals to bacteria, the direct recognition and cleavage of viral nucleic acids is a potent defence strategy against viral infection, but it requires mechanisms for distinguishing self from non-self1,2. In bacteria, CRISPR–Cas and restriction-modification systems achieve this discrimination by recognizing specific DNA sequences or DNA modifications, respectively. Alternative mechanisms probably remain to be discovered. Here, we characterize SNIPE, an anti-bacteriophage defence system that constitutively localizes to the bacterial cell membrane in Escherichia coli to block phage λ infection. Using radiolabelled phage DNA and time-lapse microscopy to track phage genomes, we demonstrate that SNIPE directly cleaves phage DNA during genome injection. Based on proximity labelling, we find that SNIPE associates with host proteins essential for λ genome entry and with the λ tape measure protein, which facilitates λ genome injection across the inner membrane. SNIPE also defends against diverse siphoviruses, probably through direct interactions with their tape measure proteins. Our findings establish SNIPE as a widespread bacterial defence system that exploits the spatial organization of phage genome injection to specifically target viral DNA, representing a previously unknown strategy for distinguishing self from non-self in prokaryotic immune systems.",nature_html,0
