title,link,published,source,pub_date
An ultrafast plenoptic-camera system for high-resolution 3D particle tracking in unsegmented scintillators,https://www.nature.com/articles/s41467-026-70918-x,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
In-utero exposure to chikungunya and child morbimortality: a population-based study using linked routine data,https://www.nature.com/articles/s41467-026-70786-5,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
Activation of l-histidine biosynthesis as a new antibiotic strategy against Mycobacterium tuberculosis,https://www.nature.com/articles/s41467-026-70510-3,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
Supercurrent-controlled spontaneous ferromagnetism of magnetic impurities in a spin-orbit-coupled superconductor,https://www.nature.com/articles/s41467-026-70968-1,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
In vivo metabolic tagging and targeting of circulating red blood cells,https://www.nature.com/articles/s41467-026-71013-x,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
Cell-type-specific immune programs orchestrate spatial defense in the Arabidopsis leaf epidermis,https://www.nature.com/articles/s41467-026-70843-z,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
Proton transfer regulated photocured robust room-temperature phosphorescence from naphthalimide,https://www.nature.com/articles/s41467-026-70999-8,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
X-ray preactivated reversible persistent luminescence enables photodynamic immunotherapy of deep tumors,https://www.nature.com/articles/s41467-026-71028-4,2026-03-21 00:00:00 UTC,Nature Communications,2026-03-21 00:00:00+00:00
Coagulation‐Independent Hemostasis Through Architecturally Programmed Chitosan Aerogels with Dual‐Crosslinked Networks,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202523140?af=R,2026-03-21 10:42:49 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 10:42:49+00:00
Tetraphenylethylene‐Functionalized Zirconium Metal‐Organic Frameworks Enabling Polyiodide Confinement for High‐Performance Zinc‐Iodine Batteries,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.72860?af=R,2026-03-21 10:45:52 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 10:45:52+00:00
Multi‐Resonance Skeleton Engineering for Highly Efficient Blue OLEDs With High Color Purity and Visual Comfort,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.72845?af=R,2026-03-21 10:51:21 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 10:51:21+00:00
Functional Metal Complexes for Solar–Light‐Driven Energy Conversion,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202518393?af=R,2026-03-21 10:54:26 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 10:54:26+00:00
BAIC reports progress on sodium-ion batteries,https://www.electrive.com/2026/03/21/baic-reports-progress-on-sodium-ion-batteries/,2026-03-21 11:00:00 UTC,Battery – electrive.com,2026-03-21 11:00:00+00:00
Bi‐Target Nanomodulator for Glioma‐Associated Myeloid Cells Polarization by Inducing Pyroptosis and Regulating Tryptophan Metabolism to Reshape Immunosuppressive Microenvironment of IDH‐Mutant Gliomas,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202523021?af=R,2026-03-21 11:01:49 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 11:01:49+00:00
Mechanically Programmable Ionogels through a Dynamic Salting‐Out Strategy,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202523597?af=R,2026-03-21 11:04:22 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 11:04:22+00:00
Multi‐Scale Charge Transfer in Organic Electroluminescence,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202519387?af=R,2026-03-21 11:09:12 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 11:09:12+00:00
Ultrafast Ionic Cross‐Phase Transport in Nanofluidics for Simultaneously Boosting Osmotic Energy Conversion and Lithium Recovery,https://onlinelibrary.wiley.com/doi/10.1002/anie.7752601?af=R,2026-03-21 11:54:31 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-03-21 11:54:31+00:00
[ASAP] Organic Semiconducting Hydrogel with Integrated Microbes and Enzymes for Selective Solar CO2 Conversion,http://dx.doi.org/10.1021/jacs.6c00205,2026-03-21 12:57:54 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2026-03-21 12:57:54+00:00
Direct Photoconversion of Shale Gas into Liquid Oxygenates Over Interfacially Coupled Ni/ZnO Nanomesh,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.72867?af=R,2026-03-21 14:29:42 UTC,Wiley: Advanced Materials: Table of Contents,2026-03-21 14:29:42+00:00
