title,link,published,source,pub_date
[ASAP] Receptor-Mediated Shuttling of a D-Amino Acid Peptide Achieves High Nanomolar Cytosolic Concentrations,http://dx.doi.org/10.1021/jacs.5c12876,2025-12-21 09:03:58 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 09:03:58+00:00
[ASAP] Dual Cation/Anion Binding in Crown Ether-Based Coordination Cages,http://dx.doi.org/10.1021/jacs.5c17231,2025-12-21 09:04:58 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 09:04:58+00:00
"[ASAP] Discovery of Stacking Heterogeneity, Layer Buckling, and Residual Water in COF-999-NH2 and Implications on CO2 Capture",http://dx.doi.org/10.1021/jacs.5c18608,2025-12-21 13:00:12 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 13:00:12+00:00
Trail hunting to be banned as part of new animal welfare strategy,https://www.bbc.com/news/articles/c4g9y20j259o?at_medium=RSS&at_campaign=rss,2025-12-21 15:56:05 UTC,BBC News,2025-12-21 15:56:05+00:00
[ASAP] Ring-Expansion of Ketones with [1.1.1]Propellane,http://dx.doi.org/10.1021/jacs.5c14022,2025-12-21 17:59:48 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 17:59:48+00:00
[ASAP] Merging Enzymatic Catalysis with Iron Catalysis for Highly Stereoselective Heparan Sulfate Oligosaccharide Assembly,http://dx.doi.org/10.1021/jacs.5c19067,2025-12-21 18:00:45 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 18:00:45+00:00
[ASAP] Solvation-Structure Design of Multicomponent Eutectic Electrolytes Enabling Al-Rich Alloy Growth in Aqueous Aluminum-Ion Batteries,http://dx.doi.org/10.1021/jacs.5c17537,2025-12-21 18:01:14 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 18:01:14+00:00
[ASAP] Isolation of a Terminal Cobalt Nitride in a Metal–Organic Framework,http://dx.doi.org/10.1021/jacs.5c16444,2025-12-21 18:01:46 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 18:01:46+00:00
[ASAP] Positional Isomerism Tunes Molecular Reactivities and Mechanisms toward Pathological Targets in Dementia,http://dx.doi.org/10.1021/jacs.5c14323,2025-12-21 18:22:40 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 18:22:40+00:00
[ASAP] Axial Ligand Engineering of Silver Single-Atom Catalysts with N-Heterocyclic Carbenes Unlocks Efficient Photocatalytic H2O2 Production,http://dx.doi.org/10.1021/jacs.5c11886,2025-12-21 18:48:40 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 18:48:40+00:00
[ASAP] Total Synthesis of the TIM-1 IgV Domain via N-to-C Serine/Threonine Ligation Enabled by Knorr Pyrazole Synthesis-Mediated Regeneration of Salicylaldehyde Esters,http://dx.doi.org/10.1021/jacs.5c17340,2025-12-21 18:49:12 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 18:49:12+00:00
[ASAP] Cu-Catalyzed Enantioselective and Divergent Synthesis of 5–5-Membered Atropisomers via Direct Atroposelective C–C/C–N Axial Bond Formation,http://dx.doi.org/10.1021/jacs.5c18193,2025-12-21 18:49:29 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 18:49:29+00:00
[ASAP] Enantioselective C–H Activation for the Construction of Chiral Tertiary Fluorides via Migrative Carbofluorination,http://dx.doi.org/10.1021/jacs.5c15963,2025-12-21 20:53:06 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-21 20:53:06+00:00
Scalable synthesis of sustainable single-atom catalysts for vascular healing,https://www.nature.com/articles/s41893-025-01713-7,2025-12-22 00:00:00 UTC,Nature Sustainability,2025-12-22 00:00:00+00:00
Nanoscale thermodynamic approach to size-dependent phase transition from paramagnetic to liquid-like behavior in nanoscale magnetic clusters,https://www.sciencedirect.com/science/article/pii/S1369702125005140?dgcid=rss_sd_all,2025-12-22 00:00:00 UTC,ScienceDirect Publication: Materials Today,2025-12-22 00:00:00+00:00
A synthetic cell-free pathway for biocatalytic upgrading of formate from electrochemically reduced CO2,https://www.nature.com/articles/s44286-025-00315-6,2025-12-22 00:00:00 UTC,Nature Chemical Engineering,2025-12-22 00:00:00+00:00
Daily briefing: Explore 2025 with Leif Penguinson,https://www.nature.com/articles/d41586-025-04120-2,2025-12-22 00:00:00 UTC,Nature,2025-12-22 00:00:00+00:00
NAC controls nascent chain fate through tunnel sensing and chaperone action,https://www.nature.com/articles/s41586-025-10058-2,2025-12-22 00:00:00 UTC,Nature,2025-12-22 00:00:00+00:00
Uncharted political waters for sustainability,https://www.nature.com/articles/s41893-025-01739-x,2025-12-22 00:00:00 UTC,Nature Sustainability,2025-12-22 00:00:00+00:00
Interwoven magnetic kagome metal overcomes geometric frustration,https://www.nature.com/articles/s41563-025-02414-4,2025-12-22 00:00:00 UTC,Nature Materials,2025-12-22 00:00:00+00:00
Superior High-Temperature Capacitive Energy Storage Performance Enabled by In Situ Grown Nanodots in Polymer Nanocomposites,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE06723E,2025-12-22 00:00:00 UTC,RSC - Energy Environ. Sci. latest articles,2025-12-22 00:00:00+00:00
Human-Taught Sensory-Control Synergy for Universal Robotic Grasping,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf583/8400358?rss=1,2025-12-22 00:00:00 UTC,National Science Review Advance Access,2025-12-22 00:00:00+00:00
High-entropy perovskite oxides for next-generation communications,https://www.nature.com/articles/s41578-025-00883-2,2025-12-22 00:00:00 UTC,Nature Reviews Materials,2025-12-22 00:00:00+00:00
High-strength conjugated polymer framework membranes for ultrafast and precise separations,https://www.nature.com/articles/s41893-025-01705-7,2025-12-22 00:00:00 UTC,Nature Sustainability,2025-12-22 00:00:00+00:00
Spatially resolved modeling of pumped storage and hydropower for China's carbon neutrality,http://pubs.rsc.org/en/Content/ArticleLanding/2026/EE/D5EE05948H,2025-12-22 00:00:00 UTC,RSC - Energy Environ. Sci. latest articles,2025-12-22 00:00:00+00:00
Non-equilibrium snapshots of ligand efficacy at the μ-opioid receptor,https://www.nature.com/articles/s41586-025-10056-4,2025-12-22 00:00:00 UTC,Nature,2025-12-22 00:00:00+00:00
Structural disorder enables fast magnetization dynamics in nanoparticles,https://www.nature.com/articles/s41578-025-00884-1,2025-12-22 00:00:00 UTC,Nature Reviews Materials,2025-12-22 00:00:00+00:00
Flexible monolithic 3D complementary circuits based on 2D semiconductor inks,https://www.nature.com/articles/s41467-025-66419-y,2025-12-22 00:00:00 UTC,Nature Communications,2025-12-22 00:00:00+00:00
Maintenance of cytoplasmic and membrane densities shapes cellular geometry in Escherichia coli,https://www.nature.com/articles/s41467-025-67553-3,2025-12-22 00:00:00 UTC,Nature Communications,2025-12-22 00:00:00+00:00
Unconventional high-harmonic generation in resonant membrane metasurfaces,https://www.nature.com/articles/s41467-025-67871-6,2025-12-22 00:00:00 UTC,Nature Communications,2025-12-22 00:00:00+00:00
Structural insights into toxicant export mediated by ABCC2 in Arabidopsis thaliana,https://www.nature.com/articles/s41467-025-67713-5,2025-12-22 00:00:00 UTC,Nature Communications,2025-12-22 00:00:00+00:00
Trends in vertical wind velocity variability reveal cloud microphysical feedback,https://www.nature.com/articles/s41467-025-67541-7,2025-12-22 00:00:00 UTC,Nature Communications,2025-12-22 00:00:00+00:00
Watch these raindrops turn into rolling ‘sandballs’,https://www.science.org/content/article/watch-these-raindrops-turn-rolling-sandballs,2025-12-22 03:00:00 UTC,Latest News from Science Magazine,2025-12-22 03:00:00+00:00
