title,link,published,source,pub_date,doi,abstract,abstract_source,published_str,must_have_abstract
Biomimetic Mineralized Hydrogels for Bone Regeneration,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202520380?af=R,2025-12-16 10:22:43 UTC,Wiley: Advanced Materials: Table of Contents,2025-12-16 10:22:43+00:00,,,,,
Scalable Solar Evaporator Based on Bandgap Engineered CuMnCrO4 Spinel Oxide with Salt‐Resistant Property for Contaminated Seawater,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202517285?af=R,2025-12-16 10:24:54 UTC,Wiley: Advanced Materials: Table of Contents,2025-12-16 10:24:54+00:00,,,,,
[ASAP] Intrinsic Relaxor Ferroelectric Driven Ultralow Glassy Thermal Conductivity in AgPbSbSe3,http://dx.doi.org/10.1021/jacs.5c18637,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-16 10:39:12+00:00,10.1021/jacs.5c18637,"Crystalline solids exhibiting glass-like ultralow thermal conductivity while maintaining their long-range structural order are fundamental to structural chemistry, and they hold substantial potential in the field of thermoelectrics. Though often attributed to strong anharmonic interactions and complex crystal structures, the microscopic origin of the thermally insulating nature of these crystals remains unclear, necessitating an extensive evaluation of the chemical bonding, local structure, and phonon dynamics. Here, we uncover the emergence of glass-like thermal conductivity in the single crystal of AgPbSbSe<sub>3</sub>, driven by its inherent relaxor ferroelectric behavior. Synchrotron X-ray pair distribution function (X-PDF) analysis reveals local structural symmetry breaking driven by Se off-centering along the crystallographic ⟨100⟩ direction, which constitutes the polar instability. Concurrently, density functional theory (DFT) calculations corroborate the experimental findings by identifying the antiparallel vibrations of cation (Ag) and anion (Se) sublattices and the associated double-well potential energy surface, generating dipole moments that underpin relaxor ferroelectric behavior in AgPbSbSe<sub>3</sub>. The presence of randomly oriented polar nanodomains, created by local atomic distortion in the structure, facilitates the structure to shuttle between randomly oriented, multiple nearly degenerate structures in the potential energy landscape, resulting in ultralow and glass-like thermal transport in AgPbSbSe<sub>3</sub>.",openalex,2025-12-16 10:39:12 UTC,False
Exceptional Two‐ to Five‐Photon Absorption at Mono/Bis(Donor)‐Porphyrin‐Mono/Bis(Donor) Triads and Pentads,https://onlinelibrary.wiley.com/doi/10.1002/anie.202522854?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:46:54+00:00,10.1002/anie.202522854,"Abstract
                  Porphyrins are key components of biologically‐active molecules involved in oxygen transport, light harvesting, and electron transfer; their photophysical properties are consequently of considerable fundamental interest. We herein report that certain donor‐porphyrin‐donor triads and bis(donor)‐porphyrin‐bis(donor) pentads exhibit nonlinear optical activity toward femtosecond pulsed radiation over the spectral range 800–2150 nm. We show that these triads and pentads exhibit unusually strong molecular quadratic optical nonlinearity, two‐photon absorption, and three‐photon absorption, and represent a new molecular motif exhibiting four‐photon absorption. We also report the first porphyrins, and therefore a new class of molecule, to exhibit five‐photon absorption. The two‐, three‐, four‐, and five‐photon absorption maxima are found close to the corresponding multiples of intense linear absorption bands that time‐dependent density functional theory assigns as admixtures of porphyrin‐localized π* ← π and donors‐to‐porphyrin charge‐transfer transitions in the case of the donor‐porphyrin‐donor triads.",crossref,2025-12-16 11:46:54 UTC,False
Site‐Specific and Regioselective Modification of Human Epidermal Growth Factor Receptor 2 via Site‐Sculpted DNA Nanorefiners,https://onlinelibrary.wiley.com/doi/10.1002/anie.202518641?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:49:14+00:00,10.1002/anie.202518641,"Abstract
                  The site‐specific modification of native proteins is essential for regulating their functions and behaviors in biological systems. Such modifications enable advanced studies, but existing artificial methods often lack site selectivity and may perturb the functional integrity of the native proteins. In this study, we have developed a programmable platform based on site‐sculpted DNA nanorefiners (SS‐DNRs), which enables site‐specific modifications of proteins at multiple spatially defined sites through precise molecular recognition. Using the human epidermal growth factor receptor 2 (HER2) as a model system, we demonstrate that this approach could achieve precise site‐specific and regioselective modifications at multiple distinct sites without perturbing its intrinsic activity. By leveraging the programmability and addressability of DNA nanostructures, our platform effectively addresses fundamental challenges related to molecular selectivity and site selectivity that are inherent in chemical, enzymatic, genetic, and affinity‐based modification strategies.",crossref,2025-12-16 11:49:14 UTC,False
Time‐Resolved In‐Cell Protein Interactions and Structural Dynamics via Rapid Buffer Online Exchange‐Ion Mobility‐Mass Spectrometry,https://onlinelibrary.wiley.com/doi/10.1002/anie.202518076?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:49:15+00:00,10.1002/anie.202518076,"Abstract
                  Observing protein structural dynamics directly within the complex cellular milieu is crucial for understanding biology but is hampered by severe matrix interference in mass spectrometry. Here, we introduce the RapiBOX‐IM‐MS platform, which enables time‐resolved analysis of proteins directly in crude lysates and living cells. The device integrates rapid online buffer exchange with pulsed electrophoretic separation at a nano‐electrospray emitter, eliminating matrix suppression and providing sub‐second temporal resolution. Its power is demonstrated by capturing transient, asymmetric intermediates in hemoglobin refolding and visualizing the lobe‐specific calcium binding dynamics of in‐cell calmodulin. Most significantly, we applied the platform to the neurodegenerative protein alpha‐synuclein, revealing a synergistic pathogenic mechanism where initial acid‐induced compaction paradoxically stabilizes the protein against subsequent thermal stress. This work provides a powerful new tool for dissecting the complex interplay of environmental stressors that trigger protein misfolding and disease.",crossref,2025-12-16 11:49:15 UTC,False
Coumarin‐Based Volatile and Non‐Volatile Solid Additives Enable Organic Solar Cells with 20.32% Efficiency,https://onlinelibrary.wiley.com/doi/10.1002/anie.202524002?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:50:05+00:00,10.1002/anie.202524002,"Abstract
                  
                    Solid additives, including volatile solid (VS) and non‐volatile solid (non‐VS) additives, have drawn great attention due to their crucial function in improving photovoltaic performance of organic solar cells (OSCs), while the post‐treatment of non‐VS additives is more convenient. However, compared with VS additives, non‐VS additives often fall‐short in optimizing device morphology, and their systematic comparisons in working mechanisms are still lacking. Herein, we design and synthesize two coumarin‐derived additives, including volatile 7‐(diethylamino)‐2
                    H
                    ‐chromen‐2‐one (C5) and nonvolatile 3‐(benzo[
                    d
                    ]thiazol‐2‐yl)‐7‐(diethylamino)‐2
                    H
                    ‐chromen‐2‐one (C6), to assess their various impacts on device performance. Both the C5‐ and C6‐treated OSCs obtain optimized morphology, improved charge transfer, and less energy loss than the additive‐free device, while C6 plays an additional charge transport channel to promote the exciton utilization through Föster‐Reasonable energy transfer (FRET) between C6 and the donor. As a result, the OSC based on C6 treated D18:L8‐BO obtained an impressive efficiency of 20.32%, as the highest value among the reported small molecule non‐VS additive‐treated devices, which is higher than those of additive‐free (18.85%) and C5‐treated (19.55%) ones. Our work provides a deep insight into the different mechanisms by which non‐VS and VS additives boost photovoltaic performance of the resulting OSCs.",crossref,2025-12-16 11:50:05 UTC,False
Hexabenzocoronene–Benzimidazole Hybrid Architectures and Faraday Rotation of the First Hexabenzocoronene–Phthalocyanine,https://onlinelibrary.wiley.com/doi/10.1002/anie.202522494?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:50:08+00:00,10.1002/anie.202522494,"Abstract
                  
                    The synthesis and characterization of a first example of a Ni‐phthalocyanine (Pc) hybrid molecule carrying four hexa‐
                    peri‐
                    hexabenzocoronene (HBC) substituents and of three HBC‐benzimidazole derivatives is reported. These π‐electron rich chromophores exhibit a high molar absorption coefficient with extended absorption up to 460 nm. Particularly, HBC‐Pc absorbs throughout most of the UV–vis range with the Pc Q‐band located at 672 nm. This enables its investigation as a Faraday rotator where it displayed a remarkable Verdet constant of −1.4 × 10
                    5
                     deg T
                    −1
                    m
                    −1
                    at 700 nm assigned to Faraday A‐term activity. Electrochemical measurements supported by DFT calculations elucidated the electronic structure of the molecules together with excited state molecular orbital analysis using TDDFT. Here, HBC‐Pc showed a HOMO/LUMO gap considerably lower than the other HBC‐based compounds due to the introduction of the Pc scaffold.",crossref,2025-12-16 11:50:08 UTC,False
3D Covalent Organic Frameworks from Twistable Building Block Toward an Unprecedented ibd‐r Topology for Efficient C3H6/C2H4 Separation,https://onlinelibrary.wiley.com/doi/10.1002/anie.202520950?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:53:48+00:00,10.1002/anie.202520950,"Abstract
                  
                    Owing to the limited diversity of structural topologies and pore features, it remains a tremendous challenge to elaborately design and synthesize three‐dimensional covalent organic frameworks (3D COFs) for efficient gas separation. In this study, we present a series of isoreticular 3D COFs using [6 + 4] design strategy based on a designed 6‐coordinated (6‐c) building block with twistable
                    D
                    3
                    ‐symmetric configuration and three different rectangular building blocks, named JUC‐320, ‐321, and ‐322, respectively. The torsional flexibility of 6‐c building blocks enables the targeted network to adopt an unprecedented self‐catenated
                    ibd‐r
                    topology with reduced pore sizes. Remarkably, these COFs exhibit exceptional performances in C
                    3
                    H
                    6
                    /C
                    2
                    H
                    4
                    separation with high adsorption ratios and selectivities. Dynamic breakthrough experiments further confirmed their ability to efficiently separate C
                    3
                    H
                    6
                    /C
                    2
                    H
                    4
                    mixtures (30/70, v/v), yielding polymer‐grade C
                    2
                    H
                    4
                    (&gt;99.99%). This work offers a useful strategy for constructing 3D COFs with unprecedented topologies and porous architectures toward efficient gas separation.",crossref,2025-12-16 11:53:48 UTC,False
Recent Advances and Perspectives of Tunnel‐Structured Nanomaterials for Zn‐Ion Batteries,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202505291?af=R,,Wiley: Advanced Energy Materials: Table of Contents,2025-12-16 11:53:48+00:00,10.1002/aenm.202505291,"ABSTRACT
                  
                    Tunnel‐structured nanomaterials have emerged as a promising class of materials for addressing critical challenges in Zn‐ion batteries (ZIBs), including Zn dendrite growth, cathode degradation, and sluggish ion transport kinetics. Their open architecture creates expansive ion transport channels, facilitating rapid Zn
                    2
                    ⁺ diffusion, superior cycling endurance, and enhanced rate capability. Recent breakthroughs in material design, such as inorganic–organic co‐intercalation, advanced interface engineering, and tailored electrolyte systems, have further improved the electrochemical performance of these materials in ZIBs. This review highlights the latest breakthroughs in the intrinsic advantages and mechanisms of tunnel‐structured nanomaterials in activating more active sites, promoting diffusion kinetics, and enabling high zinc storage performance. Additionally, the design strategies and their structural features are further discussed. The current challenges and prospects for future research directions are outlined, aiming to provide new insights and guidance to accelerate the scale‐up production and commercial application of tunnel‐structured nanomaterials in ZIBs.",crossref,2025-12-16 11:53:48 UTC,False
[ASAP] Screening-Enabled Chemiresistive Moisture Sensing with Tetrathiafulvalene-Based Electrically Conductive Metal–Organic Frameworks,http://dx.doi.org/10.1021/jacs.5c16110,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-16 11:54:11+00:00,10.1021/jacs.5c16110,"Electrically conductive metal-organic frameworks (MOFs) combine high crystallinity and large surface area with guest-tunable electrical conductivity, making them ideal for chemiresistive gas sensing. Whereas many sensitive and selective MOF-based chemiresistive sensors have been fabricated, their underlying sensing mechanisms often remain elusive, primarily due to the reliance on polycrystalline films. Herein, we overcome this limitation by investigating chemiresistive moisture sensing using single crystals of a series of isostructural MOFs, M<sub>2</sub>(TTFTB) (M<sup>2+</sup> = Mn<sup>2+</sup>, Co<sup>2+</sup>, Zn<sup>2+</sup>, Cd<sup>2+</sup>; TTFTB<sup>4-</sup> = tetrathiafulvalene tetrabenzoate). We reveal that electrical conductivity in these materials is strongly affected by Coulombic interactions between TTF<sup>•+</sup> radical defects and charge-balancing anions. In dry conditions, these interactions induce charge trapping. The adsorption of water vapor screens the hole-anion interactions, mitigating charge trapping and thereby significantly enhancing electrical conductivity. This mechanism is particularly pronounced in Zn<sub>2</sub>(TTFTB) owing to the high Coulombic potential of Zn<sup>2+</sup>. This study establishes a general methodology for understanding charge transport in MOFs and provides critical guidelines for the rational design of high-performance chemiresistive sensors.",openalex,2025-12-16 11:54:11 UTC,False
Ionotronics‐Enabled Emerging Halide Perovskite Optoelectronic Devices,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202519199?af=R,2025-12-16 11:54:20 UTC,Wiley: Advanced Materials: Table of Contents,2025-12-16 11:54:20+00:00,,,,,
Local Oxygen Chemical Potential Determines Cobalt‐Ceria Interfacial Catalysis in CO2 Hydrogenation,https://onlinelibrary.wiley.com/doi/10.1002/anie.202523112?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:54:46+00:00,10.1002/anie.202523112,"Abstract
                  
                    Exploring the restructuring mechanism of solid catalysts is of pivotal importance for the rational design of efficient catalysts, yet remains a significant challenge. Traditional chemical potential theory assumes a spatially uniform gas reservoir with a well‐defined chemical potential but neglected the spatial variations induced by surface reactions, mass transportation, and temperature gradients in the operando conditions. Here, we employ a thermodynamics‐guided strategy, integrated with experimental models initiated from distinct precursor structures, to demonstrate the structure of restructured catalyst determined by the local oxygen chemical potential (
                    μ
                    O
                    ). Using cobalt‐ceria catalyzed CO
                    2
                    hydrogenation as a proof‐of‐concept system, comprehensive characterizations reveal that supported cobalt species undergo in situ restructuring during reaction processes, either reducing oxidative cobalt species to lower oxidation states or oxidizing metallic cobalt to positive valence states, ultimately forming CoO
                    x
                    ensembles with Co(II) as the primary component. Starting from either metallic Co or CoO
                    x
                    , the resulting differences in catalytic activity modify the local atmosphere and the
                    μ
                    O
                    near catalyst surface. This leads to the formation of distinct CoO
                    x
                    ensembles, which in turn dictate the divergent catalytic performance. These findings provide a comprehensive physical picture elucidating the intrinsic correlation between the environmental atmosphere and corresponding structure of restructured catalysts.",crossref,2025-12-16 11:54:46 UTC,False
AIMNet2‐NSE: A Transferable Reactive Neural Network Potential for Open‐Shell Chemistry,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516763?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 11:57:45+00:00,10.1002/anie.202516763,"Abstract
                  Open‐shell systems such as radical intermediates are central to radical polymerization (RP), combustion, catalysis, and many other chemical and industrial processes, yet their accurate modeling presents significant computational challenges. Most of the current machine learning interatomic potentials do not distinguish between different spin states, making them unsuitable for open‐shell reactive chemistry. Here we present AIMNet2‐NSE (neural spin‐charge equilibration), a neural network potential that incorporates spin‐charge equilibration for accurate treatment of molecules and reactions with arbitrary charge and spin multiplicities. Built upon the AIMNet2 framework, AIMNet2‐NSE is trained on an extensive dataset comprising 20 million closed‐shell neutral and charged molecules, 13 million open‐shell radical configurations, and 200K radical reaction profiles. With explicit handling of spin charges, AIMNet2‐NSE enables prediction of spin‐resolved properties with near‐DFT accuracy while maintaining a favorable linear scaling compared to the polynomial scaling of electronic structure methods. The predictive capabilities and generalizability of our model are confirmed by evaluations on large‐scale radical test sets, the industrially relevant BASChem19 benchmark, and RP reactions. Overall, AIMNet2‐NSE represents a significant advancement in machine learning interatomic potentials, allowing efficient exploration of complex open‐shell systems, and significantly advancing our ability to model radical reaction pathways and reactive intermediates in chemical processes where traditional quantum mechanical methods are computationally prohibitive.",crossref,2025-12-16 11:57:45 UTC,False
Reprogrammable Dual‐Regulated Pollen Actuators for Geometric Encoding,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515030?af=R,2025-12-16 11:59:13 UTC,Wiley: Advanced Materials: Table of Contents,2025-12-16 11:59:13+00:00,,,,,
Optical Tuning of Non‐Equilibrium Surface Plasmon Resonances in a Narrow‐Gap Semiconductor Nanocavity,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202501376?af=R,2025-12-16 12:00:08 UTC,Wiley: Advanced Materials: Table of Contents,2025-12-16 12:00:08+00:00,,,,,
Reconfiguring Ionomers in Proton Exchange Membrane Fuel Cell Catalyst Layer to Promote Multi‐Species Transport and Durability,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516035?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 12:04:59+00:00,10.1002/anie.202516035,"Abstract
                  In proton exchange membrane fuel cells (PEMFCs), ionomers in the catalyst layer tend to align lamellar to the catalyst surface, impeding the formation of continuous ionic domains essential for efficient proton transport. This alignment also obstructs oxygen diffusion to the catalyst‐liquid‐gas three‐phase boundary (TPB), which critically limits the PEMFC's power density. Here, we introduce porous graphene‐based nanosheet@Nafion composite ionomers that reconfigure ion transport domains and gas channels at the nanoscale within the catalyst layer. These composite ionomers dramatically enhance proton transport (5.0‐fold) and oxygen diffusion (3.3‐fold), increasing rated power density by 1.70 times and peak power density by 1.48 times compared to Nafion‐based fuel cells. Furthermore, they demonstrate significant durability improvements during accelerated stress tests. This strategy provides an effective approach to optimizing microstructures and constructing efficient multi‐species transport pathways at the TPB, highlighting their potential for maximizing the performance of advanced high‐activity electrocatalytic materials in PEMFCs.",crossref,2025-12-16 12:04:59 UTC,False
[ASAP] Transforming Amino Acids into Serotonin 5-HT2A Receptor Ligands Using Photochemistry,http://dx.doi.org/10.1021/jacs.5c19817,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-16 12:05:51+00:00,10.1021/jacs.5c19817,"A light-induced cyclization via a radical spin-center shift process that results in the direct functionalization of the indole ring at the C4-position is developed into a practical method for the synthesis of medicinally active, ring-constrained tryptamine analogs. Amino acids were coupled to tryptamine and irradiated with UV light to produce a library of lactams bridging the C3- and C4-positions of the indole nucleus. An extension to this method is introduced that employs α-acetoxy- and α-lactone-substituted tryptamides. Using optimized conditions and these easily accessed precursors, C3- to C4-bridged indoles can now be produced in good to excellent yields, free of the C2-regioisomers that are often seen using α-halo tryptamide substrates. Due to the structural similarities of the reduced lactams (azocinoindoles) with known psychoactive tryptamines, their functional activation at the serotonin 5-HT<sub>2A</sub> receptor was investigated both <i>in silico</i> and <i>in vitro</i>. These azocinoindoles show both full and partial agonist 5-HT<sub>2A</sub> Gq activation efficacies and suppress the head-twitch response in vivo, suggesting they belong to an emerging class of nonhallucinogenic 5-HT<sub>2A</sub> agonists. The azocinoindole core and the synthetic advances described here that enable its structural diversification provide a valuable platform for serotonin receptor drug discovery.",openalex,2025-12-16 12:05:51 UTC,False
[ASAP] Unveiling Li+ Partitioning Thermodynamics in Electrolysis-Driven Li Metal Recovery,http://dx.doi.org/10.1021/acsenergylett.5c03810,2025-12-16 12:06:04 UTC,ACS Energy Letters: Latest Articles (ACS Publications),2025-12-16 12:06:04+00:00,,,,,
A Phosphorus‐Bridged Spin Trigger for Oxygen Reduction,https://onlinelibrary.wiley.com/doi/10.1002/anie.202522880?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 12:07:38+00:00,10.1002/anie.202522880,"Abstract
                  
                    Precise control over the spin degree of freedom of catalytic metal centers represents a significant challenge in enhancing the oxygen reduction reaction (ORR). In this work, we report a phosphorus(P)‐bridged composite comprising Fe single atoms (SAs) and atomic clusters (ACs), Fe
                    SA/AC
                    /PNC, wherein the Fe
                    SA
                    ‐P‐Fe
                    AC
                    structure functions as an efficient electron channel and, more importantly, a spin trigger. This trigger induces a spin‐state transition of Fe
                    II
                    from low‐spin (S = 0) to medium‐spin (S = 1), as unequivocally deciphered by advanced spectroscopic and magnetic analyses. This spin‐state reconstruction directly optimizes the reaction pathway by enhancing O
                    2
                    adsorption and facilitating *OH desorption. The resulting catalyst exhibits exceptional oxygen reduction activity in both acidic and neutral media, with half‐wave potentials of 0.852 and 0.831 V, respectively, and achieves a peak power density of 1.35 W cm
                    −2
                    in proton exchange membrane fuel cells (PEMFCs). This strategy is universally effective for Co and Ni systems, establishing spin‐state engineering as a general principle for designing high‐performance non‐precious metal catalysts.",crossref,2025-12-16 12:07:38 UTC,False
Synergy of Nickel Single‐Atom and Heteroatoms Co‐Doping in Carbon for Efficient Hydrogen Peroxide Electrosynthesis,https://onlinelibrary.wiley.com/doi/10.1002/anie.202521397?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 12:11:00+00:00,10.1002/anie.202521397,"Abstract
                  
                    Single‐atom catalysts have emerged as cost‐effective alternatives to noble metals for the two‐electron oxygen reduction reaction (2e
                    −
                    ORR); however, their practical application in hydrogen peroxide (H
                    2
                    O
                    2
                    ) electrosynthesis remains limited by persistent trade‐offs among activity, selectivity, and stability. Herein, we demonstrate that synergistic integration of atomically dispersed Ni and B, N co‐dopants within a carbon matrix (Ni‐BNC) effectively regulates the 2e
                    −
                    ORR for efficient H
                    2
                    O
                    2
                    production. The Ni‐BNC catalyst delivers &gt;90% Faradaic efficiency for H
                    2
                    O
                    2
                     at current densities up to ∼−400 mA cm
                    −2
                    and critically maintains this high selectivity for over 50 h at −100 mA cm
                    −2
                    in a flow cell, achieving a maximum production rate of 31.13 mol g
                    −1
                    h
                    −1
                    . In situ infrared spectroscopy and kinetic analysis revealed that B, N‐coordination facilitates electron transfer from adjacent single Ni atoms, electronically modulating the *OOH adsorption energy and lowering the kinetic barrier. The practical viability is further demonstrated in a porous solid electrolyte reactor, which continuously produces pure, salt‐free H
                    2
                    O
                    2
                    (&gt;1,400 ppm) for 100 h. This work highlights the effectiveness of atomic‐level synergy for designing advanced electrocatalysts beyond sole active‐site engineering.",crossref,2025-12-16 12:11:00 UTC,False
Harnessing the Hofmeister Effect for Simultaneous Strengthening and Toughening of Cellulosic Triboelectric Materials,https://onlinelibrary.wiley.com/doi/10.1002/anie.202521123?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 12:15:06+00:00,10.1002/anie.202521123,"Abstract
                  Flexible film materials often experience a decline in toughness while pursuing high strength. This challenge of balancing strength and toughness restricts their application in fields such as tissue engineering, soft robotics, and wearable electronic products. Inspired by the multilevel structures of natural materials, this study proposes a hydrogen‐bond network restructuring strategy based on “multilevel crosslinking” to simultaneously enhance the tensile strength and toughness of cellulosic triboelectric films. During the reconstruction of the hydrogen bonding network, MXene nanosheets first form a dynamically pre‐crosslinked network with polymer chains via hydrogen bonds. Subsequently, the Hofmeister effect enhances hydrogen bond interactions, inducing aggregation/crystallization to build domain networks and establish a multi‐level crosslinked structure. This yields flexible cellulosic triboelectric films with enhanced strength and toughness, capable of withstanding loads exceeding 22,700 times their own weight. Simultaneously, the aggregation/crystallization of molecular chains induces rearrangement of surface functional groups, thereby altering surface potential and enhancing the material's electron‐donating capacity, ultimately improving the triboelectric properties. This strategy offers novel insights for designing and fabricating high‐performance flexible films required in next‐generation flexible electronic devices, wearable technology, and related fields.",crossref,2025-12-16 12:15:06 UTC,False
Deactivation of Single‐Atom Catalysts by Nanoparticles,https://onlinelibrary.wiley.com/doi/10.1002/anie.202520712?af=R,,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-12-16 12:19:50+00:00,10.1002/anie.202520712,"Abstract
                  Single‐atom catalysts (SACs) represent a pinnacle of atomic efficiency and catalytic precision. Their remarkable activity and selectivity arise from isolated, low‐coordinate metal centers that engage directly in bond‐forming events. However, under realistic reaction conditions, SACs are far from static. Increasing evidence reveals that single atoms undergo dynamic evolution over the reaction time. In this perspective, we challenge the conventional dichotomy that views SACs and nanoparticles (NPs) as fundamentally distinct catalytic systems. We propose that NPs, rather than acting as parallel or cooperative catalysts, may function as catalytic poisonants for SACs by trapping active metal atoms. This transformation results in loss of activity, reduced selectivity, and degradation of the catalytic system. Drawing on mechanistic studies, thermodynamic data, and experimental observations across diverse reaction classes, including hydrogenation, oxidation, and cross‐coupling, we show that the aggregation of SACs into NPs is not merely a side process but rather a limitation to their stability and utility. We further outline thermodynamic and kinetic strategies to suppress this deactivation pathway and propose design principles that elevate NP suppression from a synthetic challenge to a foundational criterion in catalyst development. This perspective reframes the SAC–NP relationship as a dynamic continuum and emphasizes the importance of stabilizing isolated active sites in next‐generation catalytic technologies.",crossref,2025-12-16 12:19:50 UTC,False
[ASAP] Identification and Reactivity of Peroxyhemiacetal Intermediate during Aldehyde Deformylation by a Heme Ferric-Peroxide Complex,http://dx.doi.org/10.1021/jacs.5c17768,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-16 12:31:36+00:00,10.1021/jacs.5c17768,"Aldehyde deformylation reaction by heme and nonheme enzymes in biology has been associated with physiologically important processes that include human steroid metabolism and biosynthesis of long-chain hydrocarbons in cyanobacteria. A ferric-peroxide species generated from molecular oxygen has been invoked as the nucleophilic oxidant in both heme and nonheme enzymatic active sites, resulting in the formation of an elusive peroxyhemiacetal intermediate. However, recent investigations using nonheme synthetic analogues have suggested that the deformylation proceeds most likely via aldehyde C-H atom abstraction (Zhu, W. <i>J. Am. Chem. Soc.</i> 2025, 147(18), 15006-15018). Despite significant attempts in modeling aldehyde deformylation in synthetic heme systems, both reactivity and direct evidence for a heme-peroxyhemiacetal intermediate involved in the function have remained elusive. In this study, we demonstrate for the first time that a synthetic heme-peroxo complex, derived from molecular oxygen, promotes aldehyde deformylation of different aldehyde substrates via the formation of a peroxyhemiacetal intermediate. Investigation of the reaction mechanism with 2-phenylpropionaldehyde reveals the formation of <i>S</i> = 1/2 ferric low-spin peroxyhemiacetal intermediate, definitively characterized using different spectroscopic techniques for the first time outside the protein scaffold. Kinetic studies indicate a bimolecular reaction in which a ferric-peroxide species attacks the aldehyde, forming the peroxyhemiacetal intermediate. Density functional theory (DFT) calculations further reveal that the weak O-O bond in the peroxyhemiacetal intermediate promotes facile homolysis of the O-O bond. The unequivocal observation of peroxyhemiacetal with synthetic iron-porphyrin complexes during aldehyde deformylation clearly establishes nucleophilic attack of the peroxide to be the key step of the mechanism and not aldehyde C-H bond abstraction.",openalex,2025-12-16 12:31:36 UTC,False
[ASAP] Total Synthesis of Acoapetaludine A Enabled by a Rhodium-Catalyzed Domino Cyclization,http://dx.doi.org/10.1021/jacs.5c18189,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-16 12:32:33+00:00,10.1021/jacs.5c18189,"A rhodium-catalyzed asymmetric domino cyclization was developed, which enables the efficient assembly of highly strained bridged tricyclic scaffolds. Taken together with a deprotection/retro-aldol/intramolecular Mannich reaction cascade and a diastereocontrolled intramolecular Diels-Alder cycloaddition, the first total synthesis of C<sub>20</sub>-diterpenoid alkaloid acoapetaludine A has been achieved in a concise and practical manner.",openalex,2025-12-16 12:32:33 UTC,False
[ASAP] Solid–Gas Interphase Formation in Anode-Free Solid-State Batteries,http://dx.doi.org/10.1021/jacs.5c13252,,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-12-16 12:43:19+00:00,10.1021/jacs.5c13252,"The solid electrolyte interphase (SEI) is known to play an essential role in battery performance. However, for highly reactive components such as Li metal anodes, additional side reactions may also contribute to interfacial stability. In particular, for solid-state batteries (SSBs), there exists a unique interface where exposed Li metal surfaces come into contact with the surrounding gas-phase molecules during operation, which is distinct from the solid-liquid interface that exists in a liquid electrolyte system. In this work, we study the dynamic formation of a solid-gas interphase (SGI) layer on the exposed surfaces of the Li metal anode during plating, stripping, and open-circuit rest periods. A customized environmental chamber was fabricated to allow for control of the background gas composition and pressure while cycling SSBs under stack pressure. The formation of an SGI was found to depend on the plated Li capacity, ambient gas composition, and aging time, which has a direct impact on Coulombic efficiency. To reveal the dynamic formation of the SGI layer with trace background reactant gases, operando X-ray photoelectron spectroscopy (XPS) was performed under ultrahigh vacuum conditions. Solid-state pouch cells were assembled in a commercially relevant dry room environment, revealing the influence of SGI formation on calendar life in practical cell configurations. These findings highlight the importance of SGI formation, which is distinct from the classical SEI layer that arises from electrolyte decomposition, in the analysis of SSBs.",pubmed,2025-12-16 12:43:19 UTC,False
